path,dataset_targets,dataset_target_sources,dataset_target_value_transforms,preprocessing_target_transforms,runtime_input_mode,eval_target_vars_for_score,model_name_if_inferred,notes
configs/experimental/icp_stage4/generated/full/benchmark_icp_stage4_core4_full_ffno.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,ffno;unet;fno,
configs/experimental/icp_stage4/generated/full/benchmark_icp_stage4_core4_full_global_mlp.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_only,ne;ni;Te;phi,global_mlp,
configs/experimental/icp_stage4/generated/full/benchmark_icp_stage4_core4_full_unet.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unet,
configs/experimental/icp_stage4/generated/smoke/benchmark_icp_stage4_core4_smoke_cno.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unet;cno,
configs/experimental/icp_stage4/generated/smoke/benchmark_icp_stage4_core4_smoke_ffno.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,ffno;unet;fno,
configs/experimental/icp_stage4/generated/smoke/benchmark_icp_stage4_core4_smoke_global_mlp.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_only,ne;ni;Te;phi,global_mlp,
configs/experimental/icp_stage4/generated/smoke/benchmark_icp_stage4_core4_smoke_unet.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=identity,scaler=zscore,fit_scope=plasma_only;ni:value_transform=identity,scaler=zscore,fit_scope=plasma_only;Te:value_transform=identity,scaler=zscore,fit_scope=plasma_only;phi:value_transform=identity,scaler=zscore,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unet,
configs/experimental/icp_stage4/generated_conference_part_lite_v1_e80/full/benchmark_icp_stage4_core4_full_cno_operator_unet.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;ni:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;Te:value_transform=log1p,scaler=robust,fit_scope=plasma_only,floor=0.0;phi:value_transform=signed_log1p,scaler=robust,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,cno_operator_unet;unet;cno,
configs/experimental/icp_stage4/generated_conference_part_lite_v1_e80/full/benchmark_icp_stage4_core4_full_ffno.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;ni:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;Te:value_transform=log1p,scaler=robust,fit_scope=plasma_only,floor=0.0;phi:value_transform=signed_log1p,scaler=robust,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,ffno;fno,
configs/experimental/icp_stage4/generated_conference_part_lite_v1_e80/full/benchmark_icp_stage4_core4_full_unet.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;ni:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;Te:value_transform=log1p,scaler=robust,fit_scope=plasma_only,floor=0.0;phi:value_transform=signed_log1p,scaler=robust,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unet,
configs/experimental/icp_stage4/generated_conference_part_lite_v1_e80/smoke/benchmark_icp_stage4_core4_smoke_cno_operator_unet.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;ni:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;Te:value_transform=log1p,scaler=robust,fit_scope=plasma_only,floor=0.0;phi:value_transform=signed_log1p,scaler=robust,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,cno_operator_unet;unet;cno,
configs/experimental/icp_stage4/generated_conference_part_lite_v1_e80/smoke/benchmark_icp_stage4_core4_smoke_ffno.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;ni:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;Te:value_transform=log1p,scaler=robust,fit_scope=plasma_only,floor=0.0;phi:value_transform=signed_log1p,scaler=robust,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,ffno;fno,
configs/experimental/icp_stage4/generated_conference_part_lite_v1_e80/smoke/benchmark_icp_stage4_core4_smoke_unet.yaml,ne;ni;Te;phi,ne;ni;Te;phi,identity;identity;identity;identity,"ne:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;ni:value_transform=log10_floor,scaler=zscore,fit_scope=plasma_only,floor=1e-30;Te:value_transform=log1p,scaler=robust,fit_scope=plasma_only,floor=0.0;phi:value_transform=signed_log1p,scaler=robust,fit_scope=plasma_only",table_plus_structure,ne;ni;Te;phi,unet,
