bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_boundary_penalty,objective_density_floor_penalty,objective_density_ratio,objective_main,objective_negative_penalty,objective_physics_penalty,objective_total,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.8856070523993579,21.4254207611084,0.0885607052399358,0.0,1.0178434744608764,0.4563670682991148,0.0,0.0012948007322847845,0.5462225742713354,0.025896014645695686,2823.804,0.08349,0.9070434118548033,3.0813133549751344,3.8627255791258985,4.0,3.988356766829938,5.080619542686258,21.03404661000601,0.21713111213104042,18,0.5462225742713354,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8223688051422889,17.47479248046875,0.0822368805142289,0.26658232240477253,0.9233417677595227,0.3407811566236524,0.0,0.001394609920680523,0.6909949694633344,0.02789219841361046,2823.804,0.08349,1.367606287546253,3.0414234714790744,5.331753762829605,5.0,4.409029759025327,6.597190437113348,28.642339232239983,4.759205138805668,19,0.6909949694633344,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.840387617596305,17.752395629882812,0.0840387617596305,0.0,0.9503399708119635,0.41711642382497643,0.0,0.0013678196817636492,0.5025230052663706,0.02735639363527298,2823.804,0.08349,1.1409726957353605,2.675417257551363,3.9733448188374165,4.0,3.8163899532867234,8.325736679529925,23.59129649267682,3.4672351654188684,20,0.5025230052663706,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8909513308412865,22.53504753112793,0.08909513308412866,0.0,0.9555114847854498,0.47555636168365606,0.0,0.0012683337554335594,0.5659198285232183,0.02536667510867119,2823.804,0.08349,0.9516839380421973,4.406809621768524,2.8429949669128614,3.0,5.3584935598107215,4.5624869909999335,20.637967670432097,3.1183724003138775,21,0.5659198285232183,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8537304422792132,18.99325180053711,0.08537304422792133,0.0,1.0192193312253743,0.4238599108235956,0.0,0.0013316700235009194,0.5105646250750179,0.026633400470018387,2823.804,0.08349,0.6700738619451149,4.2689803857013455,4.152395295893022,4.0,4.93905424764646,4.079012160413454,23.835229150999297,0.01260528261679661,22,0.5105646250750179,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8430109840354922,18.835933685302734,0.08430109840354923,0.1012089354821677,0.9398791064517832,0.3833796874279918,0.0,0.0013630756177008152,0.5702527969314095,0.027261512354016304,2823.804,0.08349,1.0715117886728078,11.812377585821435,2.378842169566693,2.0,12.883889374494244,3.0541790461828704,28.821957795171357,4.229524357229268,23,0.5702527969314095,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8477704342067826,19.046100616455078,0.08477704342067827,0.0,1.000431457354895,0.4321629709477764,0.0,0.0013290937058627605,0.5182691080743174,0.02658187411725521,2823.804,0.08349,1.4315138008962505,1.5029584097495645,4.7053346789442205,5.0,2.934472210645815,6.812073291551793,21.48443434478087,1.1473361060843679,24,0.5182691080743174,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8705179527504342,17.13166618347168,0.08705179527504342,0.0,0.990740595736659,0.3803064167031834,0.0,0.0013317198492586613,0.4686899318274855,0.026634396985173225,2823.804,0.08349,0.9137706043065142,7.567711187152256,2.183843836293375,2.0,8.481481791458771,9.266730742283077,26.22969432520062,1.6677001859714802,25,0.4686899318274855,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8433014333670715,23.05113983154297,0.08433014333670716,0.28307847275449327,0.9216921527245506,0.4310808890101549,0.0,0.0013513677753508092,0.7998408728767061,0.027027355507016182,2823.804,0.08349,1.3983429430491892,2.2316952514291932,5.979340832408462,6.0,3.630038194478382,2.6725143847260178,24.45274355159631,4.865806656294481,26,0.7998408728767061,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.8183644989611479,16.61944007873535,0.0818364498961148,0.0,0.9870022317063699,0.4216660995751365,0.0,0.0012910306453704835,0.5047935801166218,0.025820612907409668,2823.804,0.08349,0.8851032335263366,1.70816393475502,5.499396971152436,5.0,2.5932671682813564,9.7184152261065,22.684751067513282,1.6692954196913363,27,0.5047935801166218,ood:cond:pp:2823.8 outside [505.725,2097.14]
