bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,part.coil_01.scale_x,part.coil_01.scale_y,part.coil_01.tx,part.coil_01.ty,part.coil_02.scale_x,part.coil_02.scale_y,part.coil_02.tx,part.coil_02.ty,part.coil_03.scale_x,part.coil_03.scale_y,part.coil_03.tx,part.coil_03.ty,part.coil_04.scale_x,part.coil_04.scale_y,part.coil_04.tx,part.coil_04.ty,part.coil_05.scale_x,part.coil_05.scale_y,part.coil_05.tx,part.coil_05.ty,part.coil_06.scale_x,part.coil_06.scale_y,part.coil_06.tx,part.coil_06.ty,poisson_residual_norm,pp,pp0,trial,value,warnings
0.0,0.6517096259171496,10.264668464660645,0.9542649063239906,1.0728611438779108,-0.0016189391499967822,0.019601724114425883,0.9582563225035002,1.0556016435742652,-0.006054880667523927,0.004666714101130346,0.9933132782007484,0.9209279638614168,0.007095459565382066,0.018006679252146236,0.9487264244323093,0.9223376912911575,-0.01725728329088376,0.007952272817041427,1.093264759653605,0.9233185482859682,-0.012867063578781233,0.01161835236682179,0.9789275907096228,1.0824815760792943,0.0074534478234764695,0.011140231713259861,0.1345396786928177,2823.804,0.08349,20,0.7927699594517463,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6528123225525541,10.220904350280762,0.9226021372403149,0.9299636323529471,0.017132000313932406,0.0012891152177361628,0.9440679121063322,1.0992975585302704,-0.013489092288940178,-0.01554207108210837,0.9369351550190593,0.9089480336172124,-0.0028994383874405387,-0.005886810303294316,1.0685441664911437,0.9346758730340812,-0.01352748623985843,0.004936187493923782,0.9762888551766382,1.0648499927616915,-0.016220950430863242,-0.017763563731562383,1.0065679968378007,0.9708930255634269,-0.003307792045827967,-0.004860212411863003,0.13497281074523926,2823.804,0.08349,21,0.7949843068906547,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6431563829996856,10.173333168029785,1.0994344786696064,0.9425037903815411,-0.009807229319499889,-0.00721823045199883,0.9327676417491375,0.9112391180439708,0.01058779612636418,0.012582643090488153,0.9060653835736173,0.9444581819233829,0.007594031321772488,-0.007258475130877136,0.910086370415887,1.0140170469877647,0.019381284487643414,-0.013181021559311086,1.0379514251992086,1.0267946723804386,0.014467630688465485,-0.014707077398877867,1.0175438691593008,0.9402243509434819,0.004578868266198435,-0.013128067476721298,0.1336880773305893,2823.804,0.08349,22,0.776268915381707,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.647775791614169,10.152292251586914,1.0660752470996264,0.9373566099887671,0.0026199727368180874,0.0042933274140136354,0.956849578102333,1.0166681609390795,0.01673750289253934,0.014596895134189058,0.9622500268497697,0.9497808618657082,0.012105505190334185,0.013721869618742225,1.0611437161278505,1.0024034203456609,-0.005233705335181336,0.0061808749562515045,0.9658253969807792,0.9625009681903424,0.017610461647290725,0.019418731238000347,0.935987032914477,1.071925705436504,-0.00338372280269153,-0.0009511967934177842,0.13429974019527435,2823.804,0.08349,23,0.7886463434856877,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6544606046805717,10.207820892333984,0.9917732889997262,1.0272436164944154,-0.001515527628800365,0.007569190700907589,1.0579139550243344,1.0056716994664863,0.0066223552174502626,-0.007159775113564342,0.9708199407441244,0.9188894190106106,-0.006494137284983558,0.005912726709289502,0.9521794393058809,1.0618497261927877,-0.018213920905306512,-0.005725884625694734,0.935554671999764,0.9977193879745967,0.0034348056975578092,0.017140991918096062,1.076276109641841,0.9691176738705725,-0.0067587805889223335,0.015489550327806193,0.1361827552318573,2823.804,0.08349,24,0.7919409059703758,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6505800324084381,10.223862648010254,0.9330059440240854,0.9818515358280038,-0.013989480176419052,-0.0023687097986673233,1.0984091742338715,1.0033973288362164,0.0098093011712144,-0.01672644556174285,0.9515717891864047,1.017300209467229,0.012508332082411481,0.01896138215879253,1.0287601506227089,1.0556194161065164,-0.012072173070167232,0.008164385263733084,1.0312177389866823,0.9923719508375742,-0.013420425497833257,0.013312713803661062,1.0183688349519926,0.9061847273855809,-0.006841142086498256,-0.006517351656666342,0.13637597858905792,2823.804,0.08349,25,0.7865266188151235,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6543648331275801,10.178993225097656,1.0568241425944507,0.9088166891658124,-0.015901431857064684,0.008350503866226978,0.9876941793314428,1.03824681678765,-0.009028424133908053,-0.016951738000543316,1.075576971934749,0.9604884753768014,0.0130240608397337,0.008402763319108827,0.9531081712936417,1.0619797824825918,0.012586896950304693,0.0009603271032806761,1.0690726641889259,0.9159208184068632,0.010561108398639087,-0.0005388235861310993,1.0268031005802156,1.0636272478129132,-0.006780031532278859,0.016854580598303786,0.1363128274679184,2823.804,0.08349,26,0.7827150342482287,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6526040814924576,10.31973934173584,1.0422285965446474,0.9722124110284475,-0.01764162965744291,0.012479676408387316,0.9464034063419713,1.051039887283958,-0.005808476686259336,-0.014395446552297103,1.0689651319134448,0.9409442638809131,0.013648690205808712,-0.015107108923915546,1.0144342436592426,1.0839243127668294,-0.011203889448470545,-0.018502938139916873,0.9669051980560148,1.0230560829563442,-0.013620545077359068,-0.0043466493301805055,1.0373561574240868,0.9224140497629791,0.011749493542767626,0.0035426488028730586,0.13700975477695465,2823.804,0.08349,27,0.7805343030600714,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6458144611925706,10.219954490661621,0.9126881017822841,1.0576864818348648,-0.00435411642057355,0.00010497065023086158,1.0168091442926437,1.0492129093112492,0.0029166062456941477,-0.004053041254952237,0.9656486990610248,1.0706556441554338,-0.015029729253795195,-0.006192158215146964,0.9627084828780641,0.921707089187669,-0.014865462176763971,0.019544212391544514,0.956091113231999,0.9212919502053557,0.007445198295955066,0.00782376743732623,1.0132954252341446,0.9157181667193056,0.01973878677266747,-0.016904093818612492,0.13421571254730225,2823.804,0.08349,28,0.789754773188427,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6449999791279675,10.184907913208008,0.9549268193519933,1.0310671427316804,-0.0001747112890664801,0.008024590858142631,1.0576680781637846,1.0214610766930998,0.005097619639127578,-0.008065963883640559,0.9140328086987537,1.0801859442460267,0.0009779882958070724,-0.014021331155550584,0.9402687968595878,0.9551269318628747,0.012884760969791988,0.008114708140856193,1.053564160284848,1.0627230007695831,0.01558527941372279,0.0038381681804537902,0.9998108638733871,0.9634028464307995,0.009904254652280727,-0.01661985691606062,0.13460662961006165,2823.804,0.08349,29,0.7803981706805713,ood:cond:pp:2823.8 outside [505.725,2097.14]
0.0,0.6489196391414188,10.09304141998291,1.018915689219996,1.0223016298296432,0.01973982277154394,-0.007688247519702443,0.941901028196567,0.9571352293493843,0.009074461139010306,-0.004837663604573663,0.9039415688626611,0.9333956141899686,-0.013141174297056378,0.014956748787810423,1.0970689593836684,0.9975905506830063,-0.0013500687059853564,0.006833955969971783,1.0656706489479597,1.032973529229576,-0.0017335009895184904,0.016774108182463898,0.9784680884855836,0.9636661214146747,-0.019456067831851328,-0.007237767155680155,0.13423335552215576,2823.804,0.08349,30,0.7954461707993605,ood:cond:pp:2823.8 outside [505.725,2097.14]
