representation,nncoil,rank,bohm_max_deviation,mean_bohm_flux,mean_density,density_feasible,geometry_feasible,geometry_margin_cm,spacing_std_cm,height_span_cm,size_span_cm,llcoil,rrc,rrce,zzc,pp,pp0,r_center_01,z_center_01,coil_size_01,r_center_02,z_center_02,coil_size_02,r_center_03,z_center_03,coil_size_03,r_center_04,z_center_04,coil_size_04,r_center_05,z_center_05,coil_size_05,r_center_06,z_center_06,coil_size_06,stage,restart,generation,evaluation,vector_json
dimension,4,0.1551458239555359,0.1551458239555359,4.550658373195588e+20,2.4475931134184653e+17,True,True,0.0,8.991327717922104e-07,0.0,0.0,1.4254437685012817,2.6958181858062744,21.95595359802246,0.3527977764606476,2465.875732421875,0.07141251862049103,3.4085400104522705,15.065519332885742,1.4254437685012817,8.223573684692383,15.065519332885742,1.4254437685012817,13.038607597351074,15.065519332885742,1.4254437685012817,17.8536434173584,15.065519332885742,1.4254437685012817,,,,,,,cmaes,3,10,4075,"[3.801598310470581,-3.518275499343872,-1.697635293006897,-4.38325834274292,1.4574819803237915,1.4826279878616333]"
dimension,4,0.22050988674163818,0.22050988674163818,6.654356257603594e+20,3.650716704041861e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.414969563484192,2.7531094551086426,21.337890625,0.3917960226535797,2685.8369140625,0.07916098088026047,3.4605941772460938,15.099281311035156,1.414969563484192,8.106789588928223,15.099281311035156,1.414969563484192,12.752985000610352,15.099281311035156,1.414969563484192,17.399181365966797,15.099281311035156,1.414969563484192,,,,,,,cmaes,3,10,4076,"[3.359163522720337,-3.2607333660125732,-2.383845567703247,-3.8318536281585693,2.2668163776397705,2.2951910495758057]"
dimension,4,0.17901474237442017,0.17901474237442017,5.092216580230611e+20,2.755793781826519e+17,True,True,0.0,9.19964861623157e-07,0.0,0.0,1.3963487148284912,2.568509578704834,21.84090232849121,0.357882022857666,2522.029296875,0.07380489259958267,3.266684055328369,15.056056022644043,1.3963487148284912,8.084781646728516,15.056056022644043,1.3963487148284912,12.902880668640137,15.056056022644043,1.3963487148284912,17.720977783203125,15.056056022644043,1.3963487148284912,,,,,,,cmaes,3,10,4077,"[2.853825807571411,-4.527293682098389,-1.8014332056045532,-4.292356491088867,1.6242855787277222,1.6870856285095215]"
dimension,4,0.18756639957427979,0.18756639957427979,4.927811972146009e+20,2.6554588790259712e+17,True,True,0.0,0.0,0.0,0.0,1.4236373901367188,2.942394256591797,21.842212677001953,0.6948822736740112,2794.17724609375,0.06814510375261307,3.6542129516601562,15.40670108795166,1.4236373901367188,8.379167556762695,15.40670108795166,1.4236373901367188,13.104122161865234,15.40670108795166,1.4236373901367188,17.829076766967773,15.40670108795166,1.4236373901367188,,,,,,,cmaes,3,10,4078,"[3.710824489593506,-2.685103416442871,-1.8002070188522339,-2.31099271774292,3.006239891052246,1.2398498058319092]"
dimension,4,0.20364093780517578,0.20364093780517578,3.0253067715912453e+20,1.550786074949714e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.3938008546829224,2.9483985900878906,21.53591537475586,0.4356701672077179,2835.75732421875,0.04813618212938309,3.645298957824707,15.132570266723633,1.3938008546829224,8.2921781539917,15.132570266723633,1.3938008546829224,12.939057350158691,15.132570266723633,1.3938008546829224,17.5859375,15.132570266723633,1.3938008546829224,,,,,,,cmaes,3,10,4079,"[2.7996714115142822,-2.6709094047546387,-2.1222143173217773,-3.4356701374053955,3.5040509700775146,0.1364879608154297]"
dimension,4,0.1622501015663147,0.1622501015663147,5.393757204343528e+20,2.9255142248913306e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.391904592514038,3.031233787536621,22.234790802001953,0.5169267654418945,2824.6318359375,0.071714848279953,3.7271862030029297,15.212879180908203,1.391904592514038,8.528075218200684,15.212879180908203,1.391904592514038,13.328964233398438,15.212879180908203,1.391904592514038,18.129852294921875,15.212879180908203,1.391904592514038,,,,,,,cmaes,3,11,4080,"[2.760988712310791,-2.4910147190093994,-1.4727970361709595,-2.9507806301116943,3.3468167781829834,1.5070104598999023]"
dimension,4,0.21627318859100342,0.21627318859100342,2.2488765201302474e+20,1.1344043715854336e+17,True,True,0.0,7.78671847001533e-07,0.0,0.0,1.3945586681365967,3.246922016143799,24.26415252685547,0.38609549403190613,2544.76123046875,0.043636754155159,3.9442014694213867,15.0833740234375,1.3945586681365967,9.198509216308594,15.0833740234375,1.3945586681365967,14.452816009521484,15.0833740234375,1.3945586681365967,19.707124710083008,15.0833740234375,1.3945586681365967,,,,,,,cmaes,3,11,4081,"[2.81550931930542,-2.1200859546661377,-0.3328617215156555,-3.896324634552002,1.6974190473556519,-0.08096489310264587]"
dimension,4,0.1920652985572815,0.1920652985572815,3.818421628218628e+20,2.029389227229184e+17,True,True,0.0,3.893359235007665e-07,0.0,0.0,1.4167726039886475,2.542686939239502,21.268760681152344,0.3300257921218872,2282.9814453125,0.0668272152543068,3.2510733604431152,15.038412094116211,1.4167726039886475,7.932591915130615,15.038412094116211,1.4167726039886475,12.614109992980957,15.038412094116211,1.4167726039886475,17.29562759399414,15.038412094116211,1.4167726039886475,,,,,,,cmaes,3,11,4082,"[3.4233462810516357,-4.951589107513428,-2.4902710914611816,-4.934040546417236,1.005827784538269,1.1506714820861816]"
dimension,4,0.1452498435974121,0.1452498435974121,4.244697888260872e+20,2.2537395927148134e+17,True,True,2.384185791015625e-07,1.9466796175038326e-07,0.0,0.0,1.413666009902954,2.5975840091705322,22.211040496826172,0.40368854999542236,2821.78173828125,0.06292712688446045,3.304417133331299,15.11052131652832,1.413666009902954,8.207780838012695,15.11052131652832,1.413666009902954,13.11114501953125,15.11052131652832,1.413666009902954,18.014509201049805,15.11052131652832,1.413666009902954,,,,,,,cmaes,3,11,4083,"[3.3150475025177,-4.196266174316406,-1.4907169342041016,-3.7089366912841797,3.3099982738494873,0.9078843593597412]"
dimension,4,0.1922457218170166,0.1922457218170166,6.453366939421025e+20,3.5516194390173286e+17,True,True,0.0,1.3486991292666062e-06,0.0,0.0,1.4206711053848267,2.7042031288146973,22.848609924316406,0.36355897784233093,2742.08203125,0.08039959520101547,3.414538621902466,15.073894500732422,1.4206711053848267,8.450640678405762,15.073894500732422,1.4206711053848267,13.486742973327637,15.073894500732422,1.4206711053848267,18.522842407226562,15.073894500732422,1.4206711053848267,,,,,,,cmaes,3,11,4084,"[3.576935052871704,-3.4764771461486816,-1.0647835731506348,-4.199536323547363,2.5923686027526855,2.4898288249969482]"
dimension,4,0.16178762912750244,0.16178762912750244,3.158891277100914e+20,1.6306549431887462e+17,True,True,0.0,1.9466796175038326e-07,0.0,0.0,1.3748161792755127,2.8683061599731445,22.444978713989258,0.38653767108917236,2857.25048828125,0.05141279473900795,3.5557141304016113,15.073945999145508,1.3748161792755127,8.449882507324219,15.073945999145508,1.3748161792755127,13.344050407409668,15.073945999145508,1.3748161792755127,18.238218307495117,15.073945999145508,1.3748161792755127,,,,,,,cmaes,3,11,4085,"[2.4610025882720947,-2.87658429145813,-1.3222390413284302,-3.8911783695220947,3.8959107398986816,0.2966013252735138]"
dimension,4,0.18040895462036133,0.18040895462036133,4.020000636477406e+20,2.151231092865106e+17,True,True,2.384185791015625e-07,1.9466796175038326e-07,0.0,0.0,1.389354944229126,3.127514123916626,21.678775787353516,0.4938998520374298,2345.31005859375,0.06917165964841843,3.8221917152404785,15.188577651977539,1.389354944229126,8.460006713867188,15.188577651977539,1.389354944229126,13.097822189331055,15.188577651977539,1.389354944229126,17.735637664794922,15.188577651977539,1.389354944229126,,,,,,,cmaes,3,11,4086,"[2.7109742164611816,-2.3114285469055176,-1.9622853994369507,-3.067760705947876,1.1477863788604736,1.3124713897705078]"
dimension,4,0.14462953805923462,0.14462953805923462,3.7268986321662745e+20,1.9677890882830336e+17,True,True,0.0,1.1894409226442804e-06,0.0,0.0,1.4328067302703857,2.6596016883850098,22.214773178100586,0.34101560711860657,2557.331298828125,0.06264586001634598,3.376005172729492,15.057418823242188,1.4328067302703857,8.264798164367676,15.057418823242188,1.4328067302703857,13.153590202331543,15.057418823242188,1.4328067302703857,18.04238510131836,15.057418823242188,1.4328067302703857,,,,,,,cmaes,3,11,4087,"[4.2849040031433105,-3.7205898761749268,-1.4878873825073242,-4.6312994956970215,1.7394963502883911,0.8913694620132446]"
dimension,4,0.1541728377342224,0.1541728377342224,3.944014003608318e+20,2.0857524266519757e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.4377433061599731,2.660115957260132,22.341106414794922,0.3726959824562073,2731.5048828125,0.061964523047208786,3.3789875507354736,15.091567993164062,1.4377433061599731,8.299235343933105,15.091567993164062,1.4377433061599731,13.219483375549316,15.091567993164062,1.4377433061599731,18.13973045349121,15.091567993164062,1.4377433061599731,,,,,,,cmaes,3,11,4088,"[4.813955783843994,-3.7174265384674072,-1.3949352502822876,-4.065741062164307,2.523939609527588,0.851827085018158]"
dimension,4,0.20481818914413452,0.20481818914413452,4.5177440967939274e+20,2.4421651337497805e+17,True,True,0.0,8.991327717922104e-07,0.0,0.0,1.4316452741622925,2.8902430534362793,22.810266494750977,0.3693220019340515,2359.018310546875,0.07536789774894714,3.6060657501220703,15.08514404296875,1.4316452741622925,8.586071014404297,15.08514404296875,1.4316452741622925,13.566076278686523,15.08514404296875,1.4316452741622925,18.546083450317383,15.08514404296875,1.4316452741622925,,,,,,,cmaes,3,11,4089,"[4.192018032073975,-2.8164336681365967,-1.0878090858459473,-4.113152503967285,1.1804203987121582,1.8379238843917847]"
dimension,4,0.1949995756149292,0.1949995756149292,3.359375699544008e+20,1.7525876903326515e+17,True,True,0.0,7.37001016659633e-07,0.0,0.0,1.3017816543579102,2.5917816162109375,23.235103607177734,0.33261916041374207,2795.423828125,0.056608181446790695,3.2426724433898926,14.983509063720703,1.3017816543579102,8.40350341796875,14.983509063720703,1.3017816543579102,13.564332962036133,14.983509063720703,1.3017816543579102,18.725162506103516,14.983509063720703,1.3017816543579102,,,,,,,cmaes,3,11,4090,"[1.654047966003418,-4.25435209274292,-0.8454156517982483,-4.854053497314453,3.018279790878296,0.5593825578689575]"
dimension,4,0.16063833236694336,0.16063833236694336,3.1055992679165644e+20,1.6234326979824845e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.3667774200439453,2.5717077255249023,22.277782440185547,0.3754975497722626,2246.9189453125,0.060604631900787354,3.255096435546875,15.058886528015137,1.3667774200439453,8.181614875793457,15.058886528015137,1.3667774200439453,13.108133316040039,15.058886528015137,1.3667774200439453,18.034652709960938,15.058886528015137,1.3667774200439453,,,,,,,cmaes,3,11,4091,"[2.34261155128479,-4.485189437866211,-1.4408612251281738,-4.027959823608398,0.9278398752212524,0.7747109532356262]"
dimension,4,0.1950482726097107,0.1950482726097107,4.032715213019147e+20,2.2017201514165043e+17,True,True,0.0,7.78671847001533e-07,0.0,0.0,1.418147087097168,2.672614336013794,22.175098419189453,0.857002317905426,1784.49609375,0.08234061300754547,3.381687879562378,15.566076278686523,1.418147087097168,8.257308959960938,15.566076278686523,1.418147087097168,13.132928848266602,15.566076278686523,1.418147087097168,18.0085506439209,15.566076278686523,1.418147087097168,,,,,,,cmaes,3,11,4092,"[3.474997043609619,-3.64335560798645,-1.518229603767395,-1.9265925884246826,0.06817398220300674,2.8800230026245117]"
dimension,4,0.17434251308441162,0.17434251308441162,6.065256575158421e+20,3.31540757645099e+17,True,True,0.0,7.78671847001533e-07,0.0,0.0,1.411719799041748,2.905148983001709,22.447389602661133,0.3496885895729065,2845.62353515625,0.07567399740219116,3.611008882522583,15.055548667907715,1.411719799041748,8.49656867980957,15.055548667907715,1.411719799041748,13.382129669189453,15.055548667907715,1.411719799041748,18.267688751220703,15.055548667907715,1.411719799041748,,,,,,,cmaes,3,11,4093,"[3.2523717880249023,-2.777320623397827,-1.32058846950531,-4.443099021911621,3.666085958480835,1.8694700002670288]"
dimension,4,0.1667659878730774,0.1667659878730774,5.576048491666929e+20,3.0327458143771034e+17,True,True,-2.384185791015625e-07,7.78671847001533e-07,0.0,0.0,1.4101579189300537,2.542553186416626,22.347558975219727,0.3534577488899231,2668.341796875,0.07512738555669785,3.2476320266723633,15.058536529541016,1.4101579189300537,8.198884010314941,15.058536529541016,1.4101579189300537,13.150135040283203,15.058536529541016,1.4101579189300537,18.10138511657715,15.058536529541016,1.4101579189300537,,,,,,,cmaes,3,11,4094,"[3.2045793533325195,-4.954321384429932,-1.3903272151947021,-4.3709940910339355,2.181100368499756,1.8136332035064697]"
dimension,4,0.1944999098777771,0.1944999098777771,5.775038985671132e+20,3.147864338207867e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.4213428497314453,2.5710723400115967,21.63140869140625,0.3421100378036499,2572.829833984375,0.0765719786286354,3.2817437648773193,15.052781105041504,1.4213428497314453,8.046828269958496,15.052781105041504,1.4213428497314453,12.811912536621094,15.052781105041504,1.4213428497314453,17.576995849609375,15.052781105041504,1.4213428497314453,,,,,,,cmaes,3,11,4095,"[3.6058003902435303,-4.493417263031006,-2.0131659507751465,-4.605548858642578,1.793148398399353,1.9664915800094604]"
dimension,4,0.1934911608695984,0.1934911608695984,2.9083407246284345e+20,1.490384747275223e+17,True,True,0.0,4.899036412098212e-07,0.0,0.0,1.4356043338775635,2.617331027984619,21.78882598876953,0.5170995593070984,2603.4541015625,0.04980233311653137,3.3351330757141113,15.234901428222656,1.4356043338775635,8.128006935119629,15.234901428222656,1.4356043338775635,12.920881271362305,15.234901428222656,1.4356043338775635,17.713754653930664,15.234901428222656,1.4356043338775635,,,,,,,cmaes,3,12,4096,"[4.550690650939941,-4.019999027252197,-1.8510615825653076,-2.9499478340148926,1.9056665897369385,0.21755951642990112]"
dimension,4,0.19291770458221436,0.19291770458221436,5.150078687505579e+20,2.7830535956568474e+17,True,True,0.0,0.0,0.0,0.0,1.417785406112671,2.5824785232543945,22.801559448242188,0.548953652381897,2782.27587890625,0.07130451500415802,3.2913713455200195,15.25784683227539,1.417785406112671,8.346141815185547,15.25784683227539,1.417785406112671,13.400912284851074,15.25784683227539,1.417785406112671,18.4556827545166,15.25784683227539,1.417785406112671,,,,,,,cmaes,3,12,4097,"[3.4611659049987793,-4.354922294616699,-1.0930732488632202,-2.8061726093292236,2.8974037170410156,1.4740078449249268]"
dimension,4,0.20322048664093018,0.20322048664093018,4.258074282841604e+20,2.2681632954856243e+17,True,True,0.0,0.0,0.0,0.0,1.438879132270813,2.6857097148895264,22.89262580871582,0.3698652386665344,2766.32470703125,0.06516236066818237,3.405149221420288,15.08930492401123,1.438879132270813,8.456878662109375,15.08930492401123,1.438879132270813,13.508607864379883,15.08930492401123,1.438879132270813,18.56033706665039,15.08930492401123,1.438879132270813,,,,,,,cmaes,3,12,4098,"[4.987527370452881,-3.5709571838378906,-1.038667917251587,-4.10537052154541,2.766397714614868,1.0435889959335327]"
dimension,4,0.15806829929351807,0.15806829929351807,4.455000509735355e+20,2.3952886580903936e+17,True,True,0.0,1.9466796175038326e-07,0.0,0.0,1.4168734550476074,2.625805616378784,22.22205352783203,0.37616297602653503,2413.578125,0.07215168327093124,3.334242343902588,15.084599494934082,1.4168734550476074,8.233304977416992,15.084599494934082,1.4168734550476074,13.132367134094238,15.084599494934082,1.4168734550476074,18.031429290771484,15.084599494934082,1.4168734550476074,,,,,,,cmaes,3,12,4099,"[3.427053689956665,-3.9526784420013428,-1.4823827743530273,-4.0191850662231445,1.3163483142852783,1.5429247617721558]"
dimension,4,0.19718164205551147,0.19718164205551147,6.586622119207942e+20,3.624282382925824e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.4220980405807495,2.549671173095703,21.93764877319336,0.5882470607757568,2601.50634765625,0.08163344860076904,3.2607202529907227,15.299296379089355,1.4220980405807495,8.107714653015137,15.299296379089355,1.4220980405807495,12.95470905303955,15.299296379089355,1.4220980405807495,17.80170249938965,15.299296379089355,1.4220980405807495,,,,,,,cmaes,3,12,4100,"[3.6392273902893066,-4.81831693649292,-1.7136534452438354,-2.650830030441284,1.8982270956039429,2.722059726715088]"
dimension,4,0.20922976732254028,0.20922976732254028,6.886728628314518e+20,3.789448614468649e+17,True,True,-2.384185791015625e-07,0.0,0.0,0.0,1.4190089702606201,3.099743604660034,21.442569732666016,0.3891495168209076,2741.97021484375,0.08025022596120834,3.8092479705810547,15.098653793334961,1.4190089702606201,8.394954681396484,15.098653793334961,1.4190089702606201,12.980661392211914,15.098653793334961,1.4190089702606201,17.566368103027344,15.098653793334961,1.4190089702606201,,,,,,,cmaes,3,12,4101,"[3.508718252182007,-2.3605339527130127,-2.2386858463287354,-3.8612899780273438,2.591625452041626,2.464606761932373]"
dimension,4,0.19602060317993164,0.19602060317993164,3.346849359392942e+20,1.74316384489046e+17,True,True,-2.384185791015625e-07,4.495663858961052e-07,0.0,0.0,1.4076058864593506,2.5871880054473877,21.521413803100586,0.4274761378765106,2615.517578125,0.05590151250362396,3.2909908294677734,15.131278991699219,1.4076058864593506,8.024547576904297,15.131278991699219,1.4076058864593506,12.758103370666504,15.131278991699219,1.4076058864593506,17.49165916442871,15.131278991699219,1.4076058864593506,,,,,,,cmaes,3,12,4102,"[3.1307504177093506,-4.302781105041504,-2.1396162509918213,-3.499253749847412,1.9526798725128174,0.5227115154266357]"
dimension,4,0.16130578517913818,0.16130578517913818,5.83181987719181e+20,3.1749982235970765e+17,True,True,0.0,9.19964861623157e-07,0.0,0.0,1.4239797592163086,2.56613826751709,22.135868072509766,0.37461817264556885,2776.27001953125,0.07421685010194778,3.278128147125244,15.08660888671875,1.4239797592163086,8.170560836791992,15.08660888671875,1.4239797592163086,13.062992095947266,15.08660888671875,1.4239797592163086,17.955425262451172,15.08660888671875,1.4239797592163086,,,,,,,cmaes,3,12,4103,"[3.7274398803710938,-4.559671401977539,-1.548823356628418,-4.039671421051025,2.8462729454040527,1.7253140211105347]"
dimension,4,0.1612737774848938,0.1612737774848938,2.679511068343135e+20,1.4034243726344192e+17,True,True,0.0,1.0721474836827838e-06,0.0,0.0,1.4145228862762451,2.5888986587524414,22.523889541625977,0.3285870850086212,1891.2806396484375,0.06003502383828163,3.2961602210998535,15.035848617553711,1.4145228862762451,8.2799072265625,15.035848617553711,1.4145228862762451,13.263654708862305,15.035848617553711,1.4145228862762451,18.247404098510742,15.035848617553711,1.4145228862762451,,,,,,,cmaes,3,12,4104,"[3.3438405990600586,-4.284477710723877,-1.268994927406311,-4.981293678283691,0.2538721263408661,0.7430616021156311]"
dimension,4,0.23812943696975708,0.23812943696975708,6.754844935351624e+20,3.698792849966367e+17,True,True,0.0,0.0,0.0,0.0,1.4302436113357544,2.763184070587158,21.21381378173828,0.628677487373352,2853.61376953125,0.07627123594284058,3.4783058166503906,15.343799591064453,1.4302436113357544,8.090963363647461,15.343799591064453,1.4302436113357544,12.703620910644531,15.343799591064453,1.4302436113357544,17.3162784576416,15.343799591064453,1.4302436113357544,,,,,,,cmaes,3,12,4105,"[4.090044021606445,-3.221200942993164,-2.58227801322937,-2.510244846343994,3.8184549808502197,1.9332118034362793]"
dimension,4,0.17734336853027344,0.17734336853027344,2.7444844649828372e+20,1.3984774293028864e+17,True,True,0.0,8.991327717922104e-07,0.0,0.0,1.4363105297088623,2.917815685272217,22.151582717895508,0.4574682414531708,2577.6962890625,0.04809800162911415,3.6359710693359375,15.175622940063477,1.4363105297088623,8.444412231445312,15.175622940063477,1.4363105297088623,13.252853393554688,15.175622940063477,1.4363105297088623,18.061296463012695,15.175622940063477,1.4363105297088623,,,,,,,cmaes,3,12,4106,"[4.630315780639648,-2.7451138496398926,-1.5364960432052612,-3.282911777496338,1.8104263544082642,0.13463671505451202]"
dimension,4,0.17389214038848877,0.17389214038848877,2.7460997795054354e+20,1.4255906988490752e+17,True,True,0.0,4.495663858961052e-07,0.0,0.0,1.3868746757507324,2.5457730293273926,23.0904541015625,0.3368620276451111,2320.0263671875,0.05460746958851814,3.239210367202759,15.030299186706543,1.3868746757507324,8.375380516052246,15.030299186706543,1.3868746757507324,13.511550903320312,15.030299186706543,1.3868746757507324,18.647722244262695,15.030299186706543,1.3868746757507324,,,,,,,cmaes,3,12,4107,"[2.664332628250122,-4.890536308288574,-0.9250587224960327,-4.735414981842041,1.0889972448349,0.45642173290252686]"
dimension,4,0.14793920516967773,0.14793920516967773,3.037842611522775e+20,1.578533625266176e+17,True,True,0.0,8.991327717922104e-07,0.0,0.0,1.4331121444702148,2.625257968902588,22.699146270751953,0.37973830103874207,2549.312744140625,0.05469179153442383,3.3418140411376953,15.096294403076172,1.4331121444702148,8.360286712646484,15.096294403076172,1.4331121444702148,13.378759384155273,15.096294403076172,1.4331121444702148,18.39723014831543,15.096294403076172,1.4331121444702148,,,,,,,cmaes,3,12,4108,"[4.310789108276367,-3.9568986892700195,-1.156076192855835,-3.9732682704925537,1.7125130891799927,0.46070998907089233]"
dimension,4,0.1691233515739441,0.1691233515739441,2.1902776521037395e+20,1.116252379503657e+17,True,True,0.0,7.78671847001533e-07,0.0,0.0,1.4088926315307617,2.688178777694702,23.322580337524414,0.36175355315208435,2039.052490234375,0.04742265120148659,3.392625093460083,15.066200256347656,1.4088926315307617,8.551225662231445,15.066200256347656,1.4088926315307617,13.70982551574707,15.066200256347656,1.4088926315307617,18.868427276611328,15.066200256347656,1.4088926315307617,,,,,,,cmaes,3,12,4109,"[3.167348623275757,-3.557844877243042,-0.7984650731086731,-4.228157997131348,0.518997848033905,0.10192105174064636]"
dimension,4,0.15343546867370605,0.15343546867370605,2.6062297618439576e+20,1.3246810435249766e+17,True,True,0.0,0.0,0.0,0.0,1.4209980964660645,2.8504858016967773,23.27836036682129,0.3758023977279663,2811.30908203125,0.04473558068275452,3.5609848499298096,15.08630084991455,1.4209980964660645,8.667953491210938,15.08630084991455,1.4209980964660645,13.774922370910645,15.08630084991455,1.4209980964660645,18.88189125061035,15.08630084991455,1.4209980964660645,,,,,,,cmaes,3,12,4110,"[3.590888500213623,-2.9279439449310303,-0.8220909833908081,-4.023930549621582,3.1845815181732178,-0.027879755944013596]"
