dataset_size,model_id,display_name,family,input_mode,n_cases_effective,dual_r2,interp_r2,extrap_r2,ne_r2,ni_r2,te_r2,phi_r2,sdf_boundary_minus_deep_r2_mean,sdf_boundary_to_deep_rmse_ratio_mean,neg_ne,neg_ni,neg_te,neg_phi,deep_te_r2,deep_ne_r2,deep_ni_r2,deep_phi_r2,wall_time_approx_sec,leaderboard_csv
78,coord_mlp_fourier,Coord MLP Fourier,coord_continuous,table_plus_structure,78,0.926981,0.931957,0.922004,0.898643,0.897871,0.943483,0.967926,0.300136,4.65056,0.0701452,0.017182,0,0.0355455,-0.20602,0.89159,0.892441,0.915733,134.13,runs\benchmarkrun_ext0520\n78\coord_mlp_fourier\leaderboard.csv
78,coord_mlp_siren,Coord MLP SIREN,coord_continuous,table_plus_structure,78,0.849692,0.921287,0.778096,0.8109,0.871977,0.844114,0.871776,0.724282,4.14724,0.0841095,0.0438317,0,0.0338895,-1.98458,0.897831,0.896392,0.824743,1329.19,runs\benchmarkrun_ext0520\n78\coord_mlp_siren\leaderboard.csv
78,u_no,U-NO,neural_operator,table_plus_structure,78,0.888889,0.948333,0.829445,0.856918,0.85395,0.902818,0.941871,0.221352,4.52371,0.11459,0.0568062,0,0.033811,0.181736,0.909168,0.90859,0.942833,375.136,runs\benchmarkrun_ext0520\n78\u_no\leaderboard.csv
78,cno_operator_unet,CNO Operator U-Net,neural_operator_cnn,table_plus_structure,78,0.876016,0.931656,0.820375,0.837401,0.826866,0.900594,0.939201,0.255457,4.99244,0.0847505,0.0325823,0,0.039024,0.0192496,0.897181,0.886105,0.926161,574.856,runs\benchmarkrun_ext0520\n78\cno_operator_unet\leaderboard.csv
78,cno,CNO legacy,neural_operator_cnn,table_plus_structure,78,0.78828,0.913097,0.663462,0.718856,0.714965,0.8398,0.879499,0.271732,3.90438,0.0525515,0.00798454,0,0.0384333,0.00278548,0.855133,0.853535,0.750952,292.261,runs\benchmarkrun_ext0520\n78\cno\leaderboard.csv
78,unet_operator_v2,U-Net Operator v2,cnn_operator,table_plus_structure,78,0.871886,0.929196,0.814575,0.829599,0.827856,0.90026,0.929827,0.27629,4.82763,0.0632259,0.0524573,0,0.0332296,-0.0611,0.884222,0.882436,0.930454,650.458,runs\benchmarkrun_ext0520\n78\unet_operator_v2\leaderboard.csv
78,unet,U-Net,cnn,table_plus_structure,78,0.772169,0.897648,0.646689,0.650745,0.630295,0.883048,0.924587,0.291034,5.18006,0.0765837,0.0202677,0,0.039046,0.0756021,0.830625,0.832922,0.787176,37884.5,runs\benchmarkrun_ext0520\n78\unet\leaderboard.csv
78,unetpp,U-Net++,cnn,table_plus_structure,78,0.882042,0.90901,0.855074,0.832178,0.826035,0.929742,0.940213,0.296851,4.68816,0.088826,0.0409345,0,0.0375377,-0.00848509,0.839418,0.838415,0.878054,20167.5,runs\benchmarkrun_ext0520\n78\unetpp\leaderboard.csv
78,unetpp_attn,U-Net++ Attention,cnn_attention,table_plus_structure,78,0.863047,0.903672,0.822422,0.812513,0.812045,0.89845,0.92918,0.252462,5.59323,0.0773253,0.0416761,0,0.0366579,0.160382,0.838796,0.837513,0.8863,2786.46,runs\benchmarkrun_ext0520\n78\unetpp_attn\leaderboard.csv
78,global_mlp,Global MLP,baseline,table_only,78,0.922083,0.916662,0.927504,0.887131,0.884673,0.944077,0.972451,0.493928,3.67465,0,0,0,0.0385621,-0.85644,0.841512,0.841487,0.935745,581.336,runs\benchmarkrun_ext0520\n78\global_mlp\leaderboard.csv
78,deeponet_plasma,Plasma DeepONet legacy,legacy_deeponet,table_plus_structure,78,0.486658,0.510673,0.462642,0.730116,0.740076,0.193413,0.283027,2.75624,6.32731,0.0834779,0.0644419,0,0.0345808,-11.4045,0.751921,0.768801,-0.0474182,36.7804,runs\benchmarkrun_ext0520\n78\deeponet_plasma\leaderboard.csv
78,geom_deeponet_siren,Geom DeepONet SIREN,legacy_geom_siren,table_plus_structure,78,0.381336,0.426689,0.335983,0.52052,0.50545,0.142714,0.35666,0.676339,7.29553,0.118961,0.0687909,0.00255782,0.0229732,-2.66547,0.540428,0.514158,-0.0620596,263.779,runs\benchmarkrun_ext0520\n78\geom_deeponet_siren\leaderboard.csv
