model_id,model,family,train_size,n_test_cases,source_spatial_summary,case_macro_mean_relative_rmse,case_macro_median_relative_rmse,case_macro_p90_relative_rmse,case_macro_worst_relative_rmse,case_macro_std_relative_rmse,case_macro_mean_relative_gradient_error,case_macro_median_relative_gradient_error,case_macro_p90_relative_gradient_error,case_macro_worst_relative_gradient_error,case_macro_std_relative_gradient_error,case_macro_mean_relative_rmse_ratio_vs_n54,case_macro_mean_relative_gradient_error_ratio_vs_n54
deeponet_plasma,DeepONet Plasma,Neural operator,24,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n24/spatial_plot_summary.csv,0.20056461063811146,0.19178086596943006,0.22557796046665954,0.28883275483704746,0.03446826696770196,0.6962820554538307,0.6779368308099594,0.7738820282225154,0.815368863177183,0.05458302643103624,1.3201811005378656,1.261430717524251
global_mlp,Global MLP,Neural network,36,13,runs/gec_ccp_global_mlp_regularized_v1/evaluation/spatial/n36/spatial_plot_summary.csv,0.2368288744347429,0.16978071712678955,0.4774254736806923,0.744284058097304,0.19342983402536687,0.4905015419212436,0.27708775442634004,0.7997120808448346,1.5967271475971567,0.40220612738896283,1.4020756165394208,1.4800526524751723
global_resmlp,ResMLP,Neural network,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.06037330098089781,0.053635131699396425,0.09628317299483227,0.11299637139867577,0.025491667008856543,0.18179464337415985,0.16586832324154732,0.3140632544217224,0.3178378273577835,0.08720329626375728,1.3188574037400744,1.3466155853028574
global_densemlp,DenseMLP,Neural network,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.11092272019400966,0.07402187649092756,0.27036725222868113,0.2880636992211557,0.09256747852295114,0.205820433925864,0.1459486674848732,0.406803783488623,0.5019323124100435,0.1425885398676387,1.7011430293858898,1.6032296055037825
unet,U-Net,Neural network,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.0462370976357334,0.04679773553851108,0.056152982991233356,0.057141059256201415,0.007702727551499712,0.21428356474023708,0.20123001717932046,0.27883469653309095,0.3283393856845891,0.06431729686891945,1.287364409159768,1.1320047707144352
unetpp,U-Net++,Neural network,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.06903514010229707,0.06975794042685486,0.07959541930860325,0.0903064045069339,0.011985654854401662,0.28880553684349636,0.26026152323257956,0.3933996612495358,0.47497568888991243,0.095251907301645,1.2735554789593844,1.144679117074443
fno,FNO,Neural operator,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.03738280447923644,0.037400865479967994,0.04372611200415297,0.04406538761551555,0.005333497159887711,0.1877769325107273,0.19246811641388026,0.2305259618266461,0.2595590291383679,0.038376702480952485,1.3486552820599136,1.1298541658669565
ffno,FFNO,Neural operator,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.025616017037444667,0.02573031593233764,0.030911304872318576,0.031430486778823485,0.0039961490232275345,0.14359282747658722,0.13954700681427015,0.1879684570126993,0.20145756042071286,0.03301614212023814,1.3911218571899568,1.168602385957096
u_no,U-NO,Neural operator,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.017435273806452888,0.015935999472087424,0.02407003105795653,0.03203351363850876,0.00550128986546356,0.10454602561886905,0.09958980952881338,0.13977406991176672,0.14729802868718617,0.025082121364759243,1.488319062460794,1.0881419654566598
cno,CNO,Neural operator,36,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n36/spatial_plot_summary.csv,0.05016450009306213,0.04718742465931837,0.06527425439944627,0.07030207713265367,0.011946656813230136,0.21655739870503804,0.21508082534986467,0.2772463287466831,0.29781430354319843,0.051340061514332916,1.2548497743802263,1.1434756241350394
