group,feature,count,min,q10,q25,median,q75,q90,max
top10pct,boundary_gamma_uniformity,52,0.5526850466285744,0.5755951238447595,0.5876785209439485,0.595467686499676,0.6092753034685823,0.6208531724886129,0.6464315001757939
top5pct,pp,26,1990.2876603066657,2202.2477283419194,2255.8802638583848,2632.5285254037094,2840.584535749101,2930.8385292467383,2998.7874841271973
top5pct,pp0,26,0.0866439869224547,0.0895393423656052,0.09279255613175078,0.09700506434606415,0.09877510406156395,0.09974259198125215,0.0998042261173218
top5pct,series.nncoil_effective,26,2.0,2.0,2.25,4.0,5.75,6.0,6.0
top5pct,series.llcoil,26,0.5177050822481816,0.6094111994292559,0.7129219495932337,0.8937519259973257,0.9626274958854956,1.101809398382874,1.2099558342141652
top5pct,series.rrc,26,2.0775266172289326,3.0557084787385964,4.077947338604611,5.050729848200255,6.084896907846132,7.335573251052406,8.448951106509034
top5pct,series.rrce,26,20.41185493463086,20.895750379956482,21.174943657114156,22.85137241079434,24.034108826228497,24.86726502501392,25.89050808998856
top5pct,series.zzc,26,0.1682132893984407,0.33027512623040284,0.9998203018648972,2.2506027903964254,2.6555852149568504,3.1304134540990667,4.062973347153329
top5pct,series.pitch_effective,26,2.784827906508625,2.8446671330238082,3.122365497118163,3.920586413937982,7.590225233543881,9.459057428010698,11.606346538151884
top5pct,series.min_gap_effective,26,1.630479507964274,1.7693604558727416,2.421609177288125,3.0812603601198454,6.782211655717645,8.550663600021746,10.602196078508571
top5pct,series.span_r,26,12.392895556203051,13.772045787455603,16.83572201172482,17.767332122298505,18.80720938058678,19.602932069689906,23.212693076303772
top5pct,series.fill_ratio,26,0.0865173598205525,0.09729738450106824,0.10556152061180177,0.19827496521954527,0.26813450184720733,0.37041515601511965,0.42165862208682797
top5pct,series.total_coil_area_proxy,26,1.0720742087423858,1.3247135858404822,1.6289872453034944,2.4304048930422573,3.894269791778661,6.5166802291303165,8.783958724493377
top5pct,series.z_min,26,14.168213289398441,14.330275126230402,14.999820301864897,16.250602790396425,16.65558521495685,17.130413454099067,18.062973347153328
top5pct,series.z_max,26,14.795590730158974,15.059815474982962,15.978328407010242,17.065179598716554,17.59549476291127,18.035941318357004,18.962177128691994
top5pct,series.r_mid,26,11.791521429357013,12.38925558057357,12.989853573882623,14.240326677635716,14.548316327100824,15.034124853147583,15.626543411256758
top5pct,series.radial_compactness,26,0.08651735982055252,0.09729738450106824,0.1055615206118018,0.19827496521954527,0.2681345018472073,0.37041515601511965,0.4216586220868281
top5pct,value,26,0.1323982968063745,0.13609281772228085,0.14386885030371402,0.15400512114681655,0.15615751636672565,0.15875652498754675,0.1590430037061913
