bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_ratio,objective_main,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.700637968885487,10.81482982635498,0.1632981572307893,2.710571246193036,2.710571246193036,0.4426312895460869,0.02357255481183529,1951.0037488735848,0.017542492945724426,0.6885158447398432,3.4621641594501487,5.17206619491473,5.0,4.150680004189992,6.697053622241023,27.450453643190983,0.2454044154449364,59,2.710571246193036,
0.0,0.7388857416807559,6.5106611251831055,0.6651242740935686,0.702629250845917,0.702629250845917,0.46733577042579844,0.027412353083491325,1055.8688569509873,0.0984786031597667,1.4355295076887808,2.9337811841797556,3.9170436972281224,4.0,4.369310691868536,8.997294388044393,26.47453715551854,4.636978078008951,60,0.702629250845917,
0.0,0.7991227968555202,11.466383934020996,0.6822220893055223,0.7064608015460501,0.7064608015460501,0.4819631640432003,0.028280114755034447,1800.379029536044,0.06346564498376017,1.0111158555186162,8.247689249315908,2.252941393235084,2.0,9.258805104834524,6.507006081410633,25.02461629107968,2.2294470482933626,61,0.7064608015460501,
0.0,0.7195918774001053,8.430723190307617,0.33584465466428864,1.396120477544385,1.396120477544385,0.46887959965063575,0.026370873674750328,1087.2907952686314,0.05248561107240578,1.3631455138616824,4.643294212650544,3.692491377391905,4.0,6.006439726512227,2.4616510514916383,26.487409957540546,4.441110137789644,62,1.396120477544385,
0.0,0.7622838164202036,8.866188049316406,0.4137856971964243,1.2316706096921637,1.2316706096921637,0.509647681947817,0.027738718315958977,1643.364492194405,0.04093672884518461,1.024659045029957,3.50737252641788,2.8285889796789525,3.0,4.532031571447837,9.643239812851029,23.23933452719454,3.5218043227630016,63,1.2316706096921637,
0.0,0.7497978048055468,10.264716148376465,0.8972136883659221,0.518133966929673,0.518133966929673,0.46487688753663853,0.029680103063583374,1728.1570498788205,0.08612187094073738,1.3956242895343594,3.7736850349315465,4.241551336658793,4.0,5.169309324465906,3.2383429093585114,23.915580207222135,1.0872476650979879,64,0.518133966929673,
0.0,0.7378737664373637,8.838214874267578,0.25292445815298953,1.7185333911439185,1.7185333911439185,0.4346591267728952,0.026801245287060738,1589.7904848181247,0.028752076461565145,0.5964736919310171,3.7445742755247284,4.733028583347242,5.0,4.341047967455745,5.448095363184329,27.153335200463054,0.26265415868391484,65,1.7185333911439185,
0.0,0.8333945436024658,16.6697998046875,1.1614108684777171,0.38235612035210415,0.38235612035210415,0.4440725538059078,0.02653760462999344,2470.5978894993664,0.09237834375030432,0.5535697686692798,1.8883974896986744,4.837698227941646,5.0,2.441967258367954,8.867346640115603,21.077182931955374,0.021715951007560963,66,0.38235612035210415,ood:cond:pp:2470.6 outside [505.725,2097.14]
0.0,0.7135462792519545,7.771937847137451,0.2840644337114209,1.6968112125851893,1.6968112125851893,0.48200371621820126,0.02463865466415882,1069.5503118629247,0.046436917754406434,0.8931892454982416,7.724169033850249,2.176134211169423,2.0,8.61735827934849,9.847443548082968,27.08216010677995,4.744950108150409,67,1.6968112125851893,
0.0,0.7316335105997166,8.524981498718262,0.6322244002436,0.6432419620256945,0.6432419620256945,0.40667326365321127,0.02628624439239502,1562.8702118650713,0.06963880585905788,0.9068817515072756,9.205451320638172,2.484855898657101,2.0,10.112333072145448,9.640213809588719,29.864879953879615,0.10647492235912603,68,0.6432419620256945,
0.0,0.7449408797891051,12.16535758972168,0.6936320741892685,0.7076704303410323,0.7076704303410323,0.49086290843986247,0.029339781031012535,2496.9443877005215,0.04999348058560043,0.6818666887552529,2.469472970674155,5.74724897225618,6.0,3.1513396594294076,4.3710536677525615,23.27909162432901,4.87383568786988,69,0.7076704303410323,ood:cond:pp:2496.94 outside [505.725,2097.14]
0.0,0.7408505840778499,8.701881408691406,0.879221811992953,0.512801458885097,0.512801458885097,0.45086622787358477,0.028788607567548752,1493.4417437102325,0.0963587459065539,0.5006367229449743,5.889124436301088,2.5361657746611903,3.0,6.389761159246063,6.551552862612794,25.72083634035098,2.557663447397438,70,0.512801458885097,
0.0,0.7962193068468355,13.534036636352539,0.8903863616590905,0.5549628078935167,0.5549628078935167,0.49413131537642113,0.0287126787006855,2451.0628580067046,0.06489060053840089,0.9818853224696866,5.899963617682391,2.8894864399063556,3.0,6.881848940152078,2.4282675755472107,23.073814396003442,0.7087213069046977,71,0.5549628078935167,ood:cond:pp:2451.06 outside [505.725,2097.14]
0.0,0.7032627723642552,8.971569061279297,0.786917167823042,0.4762936357026326,0.4762936357026326,0.3748036388592554,0.02836100570857525,2077.9144621195096,0.07867774598985838,1.2863202187216305,3.6570210647680805,5.249919354943655,5.0,4.943341283489711,4.928851125275246,29.6455575427238,2.962668627723677,72,0.4762936357026326,
0.0,0.8165926701056153,17.079265594482422,0.9990528552319639,0.34662092398967426,0.34662092398967426,0.34629262379502557,0.027295947074890137,2532.0224202654745,0.09766444076164106,1.2229762799574713,2.6185546544266165,5.0849921427638485,5.0,3.8415309343840875,8.401826649398073,27.60948132131851,4.643637019568208,73,0.34662092398967426,ood:cond:pp:2532.02 outside [505.725,2097.14]
0.0,0.701471814928819,8.444426536560059,0.42828139613284905,1.0059343951114752,1.0059343951114752,0.43082298715639555,0.02633475326001644,1261.6822995837747,0.058244081774906475,0.8438857699716219,5.274229465262354,4.451951899347149,4.0,6.118115235233976,4.1705962529596246,28.64305719389553,2.297632606250402,74,1.0059343951114752,
0.0,0.6960000956145758,10.720544815063477,0.6031576250081563,0.8044909826750888,0.8044909826750888,0.48523487045078434,0.025507112964987755,2974.9647716809623,0.031202225218144173,1.2780082178713252,4.632765478732457,3.3945119332476072,3.0,5.9107736966037825,6.933342820226069,24.665663910037416,0.5231990965354216,75,0.8044909826750888,ood:cond:pp:2974.96 outside [505.725,2097.14]
0.0,0.8670067451160242,15.617732048034668,1.0057307865889467,0.4397406465614478,0.4397406465614478,0.4422607063613769,0.02980509214103222,2195.1763531152787,0.0949849644581191,0.7436321221615463,11.476130309057009,2.4467538258231505,2.0,12.219762431218555,2.5485433418232484,26.988068204260358,4.8316189913401235,76,0.4397406465614478,ood:cond:pp:2195.18 outside [505.725,2097.14]
0.0,0.8543763767477635,12.044085502624512,0.05834109310089827,7.966111867056072,7.966111867056072,0.4647516740880889,0.027144964784383774,796.5158083961467,0.02026741943299154,1.290458809170545,3.1005659190037917,3.578551814192455,4.0,4.391024728174337,9.299263043171772,26.863361955869117,3.8925289641574827,77,7.966111867056072,
