method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
tpe,29,2.6517045297222293,0.11277719467469408,0.04304195692247202,4.987363027429106,0.19044446014184346,0.05266989160368908,0.525257428797054,0.05583525238320163,True
tpe,30,4.942481654354567,0.18740456336084022,0.05830823876771424,4.987363027429106,0.19044446014184346,0.05266989160368908,0.06139576775058159,0.05583525238320163,True
tpe,31,4.657742413168099,0.16585571812243086,0.04156234997102773,4.987363027429106,0.19044446014184346,0.05266989160368908,0.12562960358003133,0.05583525238320163,True
tpe,32,4.843783894786569,0.177673409675658,0.05948886898514567,4.987363027429106,0.19044446014184346,0.05266989160368908,0.08329174435511079,0.05583525238320163,True
tpe,33,4.8625966993298055,0.19951892605444466,0.04333720187229055,4.8625966993298055,0.19951892605444466,0.04333720187229055,0.05552032365608831,0.05552032365608831,True
tpe,34,4.696216864042601,0.19930911317873562,0.04250145945079142,4.8625966993298055,0.19951892605444466,0.04333720187229055,0.06770375605502521,0.05552032365608831,True
tpe,35,4.882062425395996,0.19960903657301682,0.0425592728524163,4.882062425395996,0.19960903657301682,0.0425592728524163,0.05447449242965914,0.05447449242965914,True
tpe,36,4.969187543752056,0.18008640485916688,0.04018967265037107,4.882062425395996,0.19960903657301682,0.0425592728524163,0.06985637193567386,0.05447449242965914,True
tpe,37,1.0111941902283337,0.1851134112877676,0.05641534581565507,4.882062425395996,0.19960903657301682,0.0425592728524163,0.7220058829634625,0.05447449242965914,True
tpe,38,1.0326493964817873,0.06481991541434637,0.08708034240253826,4.882062425395996,0.19960903657301682,0.0425592728524163,0.828959754097629,0.05447449242965914,True
tpe,39,3.760425197576446,0.19937710414332638,0.062274317433676285,4.882062425395996,0.19960903657301682,0.0425592728524163,0.1869576869184681,0.05447449242965914,True
tpe,40,1.150352025544015,0.08276312172477465,0.04930409876381291,4.882062425395996,0.19960903657301682,0.0425592728524163,0.7954875039635566,0.05447449242965914,True
tpe,41,4.789097050294156,0.05140445104577061,0.08218660131132079,4.882062425395996,0.19960903657301682,0.0425592728524163,0.48333923191839184,0.05447449242965914,True
tpe,42,4.845161938318075,0.18923688397038216,0.04999276462970185,4.882062425395996,0.19960903657301682,0.0425592728524163,0.0668118158116571,0.05447449242965914,True
tpe,43,4.478077068400816,0.1993198331471997,0.05297483235368832,4.882062425395996,0.19960903657301682,0.0425592728524163,0.08900032495075452,0.05447449242965914,True
tpe,44,4.874856667970112,0.19376512445079577,0.04301112502024863,4.882062425395996,0.19960903657301682,0.0425592728524163,0.05988620598628615,0.05447449242965914,True
tpe,45,4.827773783028869,0.19967272388518387,0.040553889690777604,4.882062425395996,0.19960903657301682,0.0425592728524163,0.05756593187186784,0.05447449242965914,True
tpe,46,4.939296466340574,0.18502068300187235,0.040063562844263614,4.882062425395996,0.19960903657301682,0.0425592728524163,0.06545671015026198,0.05447449242965914,True
tpe,47,4.657414718955015,0.197987573697273,0.04089598851542021,4.882062425395996,0.19960903657301682,0.0425592728524163,0.07289951071828982,0.05447449242965914,True
tpe,48,4.780250441354016,0.19792268296249152,0.045178838598078294,4.882062425395996,0.19960903657301682,0.0425592728524163,0.06223580678585807,0.05447449242965914,True
tpe,49,1.4382457231241839,0.1450546844110203,0.04156868328612649,4.882062425395996,0.19960903657301682,0.0425592728524163,0.6827209761539779,0.05447449242965914,True
tpe,50,4.997903425103227,0.19583718665634717,0.041426360511124055,4.997903425103227,0.19583718665634717,0.041426360511124055,0.052000553461212025,0.052000553461212025,True
tpe,51,4.984624749724855,0.13839682997857936,0.04962764272122892,4.997903425103227,0.19583718665634717,0.041426360511124055,0.15690812396704276,0.052000553461212025,True
tpe,52,4.249423447013189,0.19448783504925482,0.04025035498266217,4.997903425103227,0.19583718665634717,0.041426360511124055,0.12496288081679247,0.052000553461212025,True
tpe,53,4.712135189904831,0.19945252594781301,0.04160068721574213,4.997903425103227,0.19583718665634717,0.041426360511124055,0.06624188930445168,0.052000553461212025,True
tpe,54,4.793060689976651,0.17034232585272804,0.040009060847513725,4.997903425103227,0.19583718665634717,0.041426360511124055,0.10262405283950776,0.052000553461212025,True
tpe,55,4.9885535285113525,0.19644857243347916,0.043813490835669475,4.9885535285113525,0.19644857243347916,0.043813490835669475,0.05191843731740182,0.05191843731740182,True
tpe,56,1.0600043072869032,0.17817647005281426,0.08942263027896279,4.9885535285113525,0.19644857243347916,0.043813490835669475,0.7183582546802486,0.05191843731740182,True
tpe,57,4.984573686024337,0.1890724387226955,0.0487710887015884,4.9885535285113525,0.19644857243347916,0.043813490835669475,0.057397272019888104,0.05191843731740182,True
