model_id,trial,value,best_so_far,poisson_residual_norm,boundary_gamma_uniformity
ffno,35,0.34883180547798825,0.32359612845995506,0.02658853307366371,0.7849718170804422
ffno,36,0.33817445140977515,0.32359612845995506,0.02677532471716404,0.7939171656063387
ffno,37,0.3203693428980706,0.3203693428980706,0.026615235954523087,0.7853523971529079
ffno,38,0.33866792170948207,0.3203693428980706,0.02669072151184082,0.7917503278323668
ffno,39,0.3526580424118748,0.3203693428980706,0.02657243423163891,0.7895254433784733
ffno,40,0.34762879756182,0.3203693428980706,0.0267200767993927,0.7947568605572933
ffno,41,0.34782537666612245,0.3203693428980706,0.026533618569374084,0.7874223658300062
ffno,42,0.3400346085674155,0.3203693428980706,0.02671707235276699,0.786404631489216
ffno,43,0.3317859518527161,0.3203693428980706,0.02662205509841442,0.7935651974364177
ffno,44,0.3367104712817246,0.3203693428980706,0.02668156661093235,0.7868080987419881
ffno,45,0.3298744471504614,0.3203693428980706,0.026599958539009094,0.7909953934189798
ffno,46,0.34404879987479525,0.3203693428980706,0.026725566014647484,0.7905332060209629
ffno,47,0.3299505336074953,0.3203693428980706,0.026719046756625175,0.7909437539665518
ffno,48,0.34926787657781044,0.3203693428980706,0.02648044377565384,0.7894487812191453
ffno,49,0.3375901953924248,0.3203693428980706,0.02689482644200325,0.7979687286861756
ffno,50,0.3438817576837672,0.3203693428980706,0.026624001562595367,0.7875994092801958
ffno,51,0.3417444553040427,0.3203693428980706,0.026603810489177704,0.791686245668859
ffno,52,0.34500592377177897,0.3203693428980706,0.026710158213973045,0.7932157468950161
ffno,53,0.32893064395436183,0.3203693428980706,0.026522787287831306,0.7860295477408259
ffno,54,0.3457797044088996,0.3203693428980706,0.026742009446024895,0.7904214294528839
ffno,55,0.3278135974656573,0.3203693428980706,0.02668061852455139,0.7892187502982236
ffno,56,0.3338485808262463,0.3203693428980706,0.02664758265018463,0.7925643028070892
ffno,57,0.3299439571543739,0.3203693428980706,0.026689060032367706,0.7885242313243234
ffno,58,0.3331063928493087,0.3203693428980706,0.026645461097359657,0.7867997242030458
ffno,59,0.3382386484147059,0.3203693428980706,0.02669178694486618,0.7931423229381432
ffno,60,0.34829143188304673,0.3203693428980706,0.02677219547331333,0.7896448571674006
ffno,61,0.335880918490307,0.3203693428980706,0.02678714133799076,0.7943190545588664
ffno,62,0.3352255222468794,0.3203693428980706,0.02661738358438015,0.7846078258431203
ffno,63,0.3512432486199557,0.3203693428980706,0.02675306610763073,0.7973193406588139
ffno,64,0.34386264462858573,0.3203693428980706,0.026689600199460983,0.7873246842642743
ffno,65,0.3408392307517472,0.3203693428980706,0.026702506467700005,0.7908960415856519
ffno,66,0.33573023818793124,0.3203693428980706,0.026614323258399963,0.7895622414465349
ffno,67,0.34294126741705155,0.3203693428980706,0.026820683851838112,0.7987828946427036
ffno,68,0.35330099463009723,0.3203693428980706,0.026666630059480667,0.7978725435218178
ffno,69,0.34354612521642824,0.3203693428980706,0.02685707062482834,0.7985426997109942
ffno,70,0.34694801537239844,0.3203693428980706,0.02673577331006527,0.7953388438184171
ffno,71,0.3360955367110589,0.3203693428980706,0.026831191033124924,0.7964547878482726
ffno,72,0.35599982238610156,0.3203693428980706,0.0266739409416914,0.7912742513425808
ffno,73,0.33216836061584143,0.3203693428980706,0.026671864092350006,0.7889578678673269
ffno,74,0.34848812844740706,0.3203693428980706,0.026655355468392372,0.7867925842080079
ffno,75,0.3427473895701394,0.3203693428980706,0.026728646829724312,0.795549013590277
ffno,76,0.3308539679269309,0.3203693428980706,0.02667972631752491,0.7873081049895548
ffno,77,0.3309792924270942,0.3203693428980706,0.026571741327643394,0.7838386586913805
ffno,78,0.3342234260569994,0.3203693428980706,0.02662747912108898,0.7940903286311797
ffno,79,0.3374447649446707,0.3203693428980706,0.02663615345954895,0.7889930231106137
unet,0,0.7192940389587925,0.7192940389587925,0.13607366383075714,0.6538824588015094
unet,1,0.7208951352415752,0.7192940389587925,0.13336174190044403,0.6483512897424684
unet,2,0.7167855290854946,0.7167855290854946,0.13493911921977997,0.6502364076590554
unet,3,0.7138200788436737,0.7138200788436737,0.13392965495586395,0.649608016347703
unet,4,0.7174770332841003,0.7138200788436737,0.1356704831123352,0.6544436882236411
unet,5,0.714131945630456,0.7138200788436737,0.13377954065799713,0.6493281154045294
unet,6,0.6999277383720595,0.6999277383720595,0.13610181212425232,0.6504095795589155
unet,7,0.7131749867735501,0.6999277383720595,0.1337932050228119,0.6458460889047556
unet,8,0.7082514896008933,0.6999277383720595,0.13446219265460968,0.646415408286273
unet,9,0.7124071112507548,0.6999277383720595,0.1346636414527893,0.6499890919311891
unet,10,0.7030481955352116,0.6999277383720595,0.1354437917470932,0.6491916397179983
unet,11,0.7172946892214962,0.6999277383720595,0.13387830555438995,0.6461639832963022
unet,12,0.7142567928181658,0.6999277383720595,0.1337113231420517,0.6501891382412931
unet,13,0.7172577833886258,0.6999277383720595,0.13407322764396667,0.6516887143548826
unet,14,0.712431841244056,0.6999277383720595,0.13591636717319489,0.6537695304872861
unet,15,0.70713843822577,0.6999277383720595,0.13673771917819977,0.651581867839284
unet,16,0.7064808636090273,0.6999277383720595,0.13511615991592407,0.6488854672887078
unet,17,0.7143927949688421,0.6999277383720595,0.13445819914340973,0.6463595489361419
unet,18,0.6993914564626688,0.6993914564626688,0.13409437239170074,0.6438208428011848
unet,19,0.7202438681278283,0.6993914564626688,0.13393601775169373,0.6489030722141919
unet,20,0.7181106916180302,0.6993914564626688,0.13349835574626923,0.6470576178274756
unet,21,0.710633931193512,0.6993914564626688,0.13577987253665924,0.649925468850495
unet,22,0.7165455490095525,0.6993914564626688,0.13399145007133484,0.6493541148561562
unet,23,0.7146083587287495,0.6993914564626688,0.13320010900497437,0.6458382249648214
unet,24,0.7140329496888534,0.6993914564626688,0.13495567440986633,0.6516912476006905
unet,25,0.7149032048092612,0.6993914564626688,0.1358373910188675,0.6517925963120784
unet,26,0.7031061925999252,0.6993914564626688,0.13507504761219025,0.6491167352013556
unet,27,0.7014486620388236,0.6993914564626688,0.1363169252872467,0.6512339820709063
unet,28,0.7236853543573859,0.6993914564626688,0.13443578779697418,0.6468018088243265
unet,29,0.7179425376528438,0.6993914564626688,0.13550356030464172,0.6498311115101408
unet,30,0.7252015142297668,0.6993914564626688,0.13425017893314362,0.6514861119378049
unet,31,0.7124226369688568,0.6993914564626688,0.1350635141134262,0.6493849345483774
