case_id,case_index,var,n_points,integral_true,integral_pred,integral_rel_error,p95_true,p95_pred,p95_rel_error,p99_true,p99_pred,p99_rel_error,peak_location_error_px,center_of_mass_error_px,profile_rmse_r,profile_rmse_z,grad_rmse,top10_rmse,shape_corr,distribution_error_score
case_g029_op01,16.0,ne,128000.0,1.1332359348647545e+22,9.698021413441268e+21,0.14421868252892334,1.982421612363776e+17,1.688909886726865e+17,0.14805716594611631,2.1110356123513258e+17,1.950582502684465e+17,0.07600682277839169,30.528675044947494,8.833811889946709,1.7266439696815514e+16,1.4998589514740368e+16,1255443894802950.5,3.932841392876526e+16,0.9798710966169979,0.1513302492879968
case_g010_op01,17.0,ne,128000.0,1.935893953673428e+22,1.7662937205519619e+22,0.08760822502681191,3.482366389904212e+17,3.190321584577445e+17,0.08386389386637742,3.7157163955021414e+17,3.596118097086591e+17,0.032187143927433194,50.24937810560445,17.079046843316824,2.662628328710715e+16,1.583501123432841e+16,1837992655803207.8,5.348746451146167e+16,0.9757441822460051,0.11952349907291582
case_g024_op03,18.0,ne,128000.0,5.5984898683784965e+22,5.4837550589447684e+22,0.020493885338933194,1.0072887018628579e+18,9.295965230494383e+17,0.07713000122977384,1.0894021956022043e+18,1.0191499412455292e+18,0.06448697702306423,24.351591323771842,4.072532863444171,2.5810679052443188e+16,2.4663566882647004e+16,3235219927659806.0,8.030902251155837e+16,0.9929960971855386,0.06528201531645576
case_g026_op04,19.0,ne,128000.0,5.356112944541966e+22,4.309306322974671e+22,0.19544147638522474,1.0518883397672106e+18,7.566487006834849e+17,0.28067583594382656,1.132415761870089e+18,8.070512510343997e+17,0.2873189528008487,29.120439557122072,24.61122534787735,1.3709140334430731e+17,9.623396032462138e+16,3771187409072914.5,3.189430130181332e+17,0.9668083661800407,0.24992387814528047
case_g023_op04,20.0,ne,128000.0,4.496025730154957e+22,3.38673855834247e+22,0.24672616181274734,8.768863685465604e+17,5.788599382148383e+17,0.3398689283147383,9.491579330448116e+17,6.133451459778524e+17,0.3538007484062242,60.207972893961475,26.528505287588885,1.3733973659908437e+17,9.720086075086117e+16,3423839925834685.0,3.2476916010470515e+17,0.9508827012091449,0.31650126415131785
case_g009_op04,21.0,ne,128000.0,2.445902290963307e+23,1.7898888267410067e+23,0.26820918670628197,4.6704626390012e+18,2.9942691196456397e+18,0.3588923943761644,5.059954418677827e+18,3.2368172093376195e+18,0.360307042018097,22.20360331117452,20.333324490050398,7.335610088704762e+17,5.8299340725625e+17,1.915859577232791e+16,1.7010443166364992e+18,0.9757825138404292,0.3041469930039781
case_g012_op05,22.0,ne,128000.0,2.1737188822052617e+22,2.1538809719722143e+22,0.009126253811128323,3.7081218968904006e+17,3.986053577121463e+17,0.07495214234034041,3.947237920135027e+17,4.3768478959967136e+17,0.10883812543202116,42.20189569201838,0.9773215066336493,1.9096661404882892e+16,5341579848435439.0,1890365851067446.2,3.534865881123965e+16,0.9836653016051237,0.08304638181286107
case_g032_op01,23.0,ne,128000.0,3.978020781864762e+22,3.822975170689086e+22,0.038975565910190094,7.257457718976315e+17,6.441704616122907e+17,0.11240204689314708,7.884533581967314e+17,7.116754205530285e+17,0.09737790681658258,31.25699921617557,5.936833361904179,2.6625045518603976e+16,1.7321838803237556e+16,2440838857277032.0,7.908611309512725e+16,0.9908302250539568,0.09253765713145999
case_g008_op06,24.0,ne,128000.0,6.92220771531173e+21,4.469270970026589e+21,0.35435757581491145,1.328924870645383e+17,8.550216409483837e+16,0.3566064870671369,1.3826272098382774e+17,9.162744561972282e+16,0.3372946448056649,50.00999900019995,8.829482768798089,2.400089731952413e+16,2.114910966181537e+16,1253352021612109.2,5.120798103394585e+16,0.9811042593919113,0.32860746535729274
case_g006_op05,25.0,ne,128000.0,1.2192748528631447e+23,1.2355776662522672e+23,0.013370909234156412,2.1630355802679145e+18,2.0003121543243628e+18,0.07522919522359256,2.3298333303859523e+18,2.1810088845303086e+18,0.06387772203043807,46.04345773288535,8.24043613956786,1.0290903484048323e+17,3.407397898858512e+16,7367739801260502.0,1.774346436120565e+17,0.9842846604811992,0.07517605069898263
case_g021_op05,26.0,ne,128000.0,1.8822045942622726e+22,1.947507067573024e+22,0.034694673209182327,3.247880296737014e+17,3.499077781235432e+17,0.07734197739700682,3.488751717783175e+17,3.982443468130615e+17,0.1415095685459503,72.27724399837061,13.538461188613855,2.246541810180742e+16,7779055793587718.0,1908156342640455.5,4.215461486868484e+16,0.9708003877587577,0.12582003071051864
case_g056_op02,27.0,ne,128000.0,1.1765470098305172e+21,1.060925282537883e+21,0.0982720846056883,1.94809686724182e+16,1.963639784802877e+16,0.007978513708644774,2.0061808839664596e+16,2.1841073903312564e+16,0.08868916446507795,472.2298169323915,15.017298444766544,1637893852072885.5,1516623360842909.0,821681055693973.5,2645722267578451.0,0.9236508026273825,0.2505746140436083
case_g038_op01,28.0,ne,128000.0,1.0921043987116509e+23,8.883548874675226e+22,0.18656596519938048,2.0528558771265336e+18,1.555178452103987e+18,0.24243174134521617,2.2261828860059738e+18,1.6831731944296701e+18,0.2439196235806686,70.11419257183242,24.998542233251914,2.5987770791515782e+17,1.8528051800777558e+17,7133672944753754.0,5.791866054181298e+17,0.9568905033279862,0.24942490626674688
case_g015_op03,29.0,ne,128000.0,1.8465980090870748e+23,1.5836017989364706e+23,0.142422015434006,3.346467268107173e+18,2.737972464430822e+18,0.1818319902529713,3.6127871372914954e+18,2.9435585356146463e+18,0.18523886856466432,21.213203435596427,22.158213160870147,3.388720972146355e+17,2.479514334805227e+17,1.1729495320079204e+16,6.976111768872517e+17,0.9712253586041556,0.1806541369045264
case_g052_op04,30.0,ne,128000.0,5.619318528507025e+22,5.597171035629646e+22,0.003941312948362761,9.286626150526746e+17,9.557243140675469e+17,0.029140506548050667,9.656982417411407e+17,1.0199906264617372e+18,0.05622085903636736,42.04759208325728,10.572777723336547,6.172902700137391e+16,2.3237452932684624e+16,3597618386329874.0,6.2585113229069176e+16,0.971031562263905,0.06282185724809615
case_g034_op01,31.0,ne,128000.0,8.734859833808949e+21,6.908758886448892e+21,0.2090589868760106,1.4986240836868506e+17,1.1693502011906458e+17,0.21971746355906635,1.5976744631303926e+17,1.2250512137226552e+17,0.2332285193303025,228.42942017174582,6.152799638975132,1.7728437013455748e+16,1.6350803872235956e+16,1296987100441263.5,4.1014578980920376e+16,0.969685143432528,0.28394963261508305
case_g007_op03,32.0,ne,128000.0,2.432978294932345e+21,1.6124905970752364e+21,0.33723592995716567,3.9827657152318664e+16,2.7842132905138584e+16,0.3009347047791967,4.1529526733494024e+16,3.0014017872959896e+16,0.27728485649336193,192.35384061671346,8.790166700886202,7097325934467265.0,7139262760192062.0,839799281962034.1,1.2986711462088478e+16,0.9586504720880528,0.3334572824478854
