case_id,case_index,var,region,boundary_type,n_points,rmse,r2
case_g045_op02,5.0,ni,plasma_deep,na,110070.0,8.823014781573642e+17,0.6557713280853006
case_g045_op02,5.0,ni,chamber_near,na,2072.0,5328450410020775.0,0.0
case_g045_op02,5.0,ni,chamber_far,na,124681.0,2804763578136084.0,0.0
case_g045_op02,5.0,ni,all_plasma,na,128000.0,8.299785967522817e+17,0.702984093234098
case_g045_op02,5.0,Te,boundary_in,na,4998.0,0.41600922132979584,-1.3941788231598582
case_g045_op02,5.0,Te,plasma_mid,na,12932.0,0.24208567482172275,0.1108086139687745
case_g045_op02,5.0,Te,plasma_deep,na,110070.0,0.1901122991804772,-0.6576096102102158
case_g045_op02,5.0,Te,chamber_near,na,2072.0,0.13750089742014263,0.0
case_g045_op02,5.0,Te,chamber_far,na,124681.0,0.10000768586072244,0.0
case_g045_op02,5.0,Te,all_plasma,na,128000.0,0.2091852443109434,-0.5286203031809502
case_g045_op02,5.0,phi,boundary_in,na,4998.0,0.49280907993915074,0.957282214941984
case_g045_op02,5.0,phi,plasma_mid,na,12932.0,0.42327290437001214,0.9523061046595662
case_g045_op02,5.0,phi,plasma_deep,na,110070.0,0.5625909549538832,0.8807301117664359
case_g045_op02,5.0,phi,chamber_near,na,2072.0,1.0695256448528925,0.0
case_g045_op02,5.0,phi,chamber_far,na,124681.0,0.3312462745824838,0.0
case_g045_op02,5.0,phi,all_plasma,na,128000.0,0.547500102774389,0.9286423892198666
case_g050_op03,6.0,ne,boundary_in,na,4998.0,5.227454100408061e+16,0.9776545084504258
case_g050_op03,6.0,ne,plasma_mid,na,12932.0,8.02877273186647e+16,0.9454888192937604
case_g050_op03,6.0,ne,plasma_deep,na,110070.0,3.440200490729307e+17,0.8122002842839553
case_g050_op03,6.0,ne,chamber_near,na,2072.0,3878551997656300.0,0.0
case_g050_op03,6.0,ne,chamber_far,na,124681.0,2890052392317984.5,0.0
case_g050_op03,6.0,ne,all_plasma,na,128000.0,3.202023375140238e+17,0.8505204985171683
case_g050_op03,6.0,ni,boundary_in,na,4998.0,4.901802895908214e+16,0.9803337185496714
case_g050_op03,6.0,ni,plasma_mid,na,12932.0,7.853669557437886e+16,0.9478395382236406
case_g050_op03,6.0,ni,plasma_deep,na,110070.0,3.4412289113798906e+17,0.8120878751551348
case_g050_op03,6.0,ni,chamber_near,na,2072.0,3068792328979378.0,0.0
case_g050_op03,6.0,ni,chamber_far,na,124681.0,2506187411963529.5,0.0
case_g050_op03,6.0,ni,all_plasma,na,128000.0,3.202333776748662e+17,0.8504828270991593
case_g050_op03,6.0,Te,boundary_in,na,4998.0,0.26392156274749384,-0.15970050197176366
case_g050_op03,6.0,Te,plasma_mid,na,12932.0,0.19915538464963406,0.30045170385910713
case_g050_op03,6.0,Te,plasma_deep,na,110070.0,0.15461171068486693,-0.2626436104051937
case_g050_op03,6.0,Te,chamber_near,na,2072.0,0.15115574857412375,0.0
case_g050_op03,6.0,Te,chamber_far,na,124681.0,0.09030476584385506,0.0
case_g050_op03,6.0,Te,all_plasma,na,128000.0,0.16517635225082858,-0.10467274629985024
case_g050_op03,6.0,phi,boundary_in,na,4998.0,0.409493238902683,0.9661454893331576
case_g050_op03,6.0,phi,plasma_mid,na,12932.0,0.4016843295596995,0.9406164011522412
case_g050_op03,6.0,phi,plasma_deep,na,110070.0,0.33656709894524905,0.9383944146327488
case_g050_op03,6.0,phi,chamber_near,na,2072.0,0.457575274962649,0.0
case_g050_op03,6.0,phi,chamber_far,na,124681.0,0.3009864466731705,0.0
case_g050_op03,6.0,phi,all_plasma,na,128000.0,0.3467833778845729,0.9669070522589522
case_g028_op04,7.0,ne,boundary_in,na,4998.0,2.638813455992111e+16,0.8136338377255301
case_g028_op04,7.0,ne,plasma_mid,na,12932.0,2.1781049958233068e+16,0.8687835573740341
case_g028_op04,7.0,ne,plasma_deep,na,110070.0,2.678069307765256e+16,0.9143907967840237
case_g028_op04,7.0,ne,chamber_near,na,2072.0,2158242630277968.2,0.0
case_g028_op04,7.0,ne,chamber_far,na,124681.0,2355655394018338.0,0.0
case_g028_op04,7.0,ne,all_plasma,na,128000.0,2.630325118917591e+16,0.9199982718305248
case_g028_op04,7.0,ni,boundary_in,na,4998.0,2.7273818542744416e+16,0.8006139944987599
case_g028_op04,7.0,ni,plasma_mid,na,12932.0,2.148732926922527e+16,0.8722835786818113
case_g028_op04,7.0,ni,plasma_deep,na,110070.0,2.6140544231318696e+16,0.9184340614219966
case_g028_op04,7.0,ni,chamber_near,na,2072.0,3288260289032179.5,0.0
case_g028_op04,7.0,ni,chamber_far,na,124681.0,2264668061593424.5,0.0
case_g028_op04,7.0,ni,all_plasma,na,128000.0,2.5754627939066564e+16,0.9232882639978691
case_g028_op04,7.0,Te,boundary_in,na,4998.0,0.3107361340658625,0.5677182874873854
case_g028_op04,7.0,Te,plasma_mid,na,12932.0,0.17295361990410382,0.8609149886891528
