case,radial_bin,radius_cm,comsol_bohm_flux_m2_s,formal_dimension_bohm_flux_m2_s,formal_sdf_bohm_flux_m2_s,e1_causal_em_bohm_flux_m2_s
spacing_left,7,11.379082535111348,2.2963318864120712e+20,2.429284740685906e+20,2.2085544044923227e+20,2.1923394639838305e+20
spacing_left,8,12.2253505582234,2.2023164213104155e+20,2.4285214517024345e+20,2.1597110163715015e+20,2.1429760954652593e+20
spacing_left,9,13.016482386627139,2.0964089645765768e+20,2.3655410178471022e+20,2.0562540995037217e+20,1.9666829233082152e+20
spacing_left,10,13.762059862103577,1.992621932899564e+20,2.263267855539194e+20,1.9812937312931552e+20,1.8649367453108912e+20
spacing_left,11,14.46916776999303,1.8779969766179563e+20,2.1709461273945847e+20,1.8460438274062965e+20,1.786507643733619e+20
spacing_left,12,15.143221548036674,1.764118026686081e+20,2.0555121304605085e+20,1.7116335411705928e+20,1.6530675539395563e+20
spacing_left,13,15.788471896905213,1.6479694840636965e+20,1.9840768610740663e+20,1.6432685224032895e+20,1.578324957249551e+20
spacing_left,14,16.408328455119364,1.5334321346723892e+20,1.9347336274143406e+20,1.610806968049314e+20,1.5080654938435594e+20
spacing_left,15,17.005576122987115,1.4271884618541933e+20,1.815383379128379e+20,1.53090835971939e+20,1.4106367406644257e+20
spacing_left,16,17.582524633399615,1.3281227513654288e+20,1.7251452902863238e+20,1.4291941684993799e+20,1.3437808001833168e+20
spacing_left,17,18.141114965062243,1.2381398660921701e+20,1.714623730056459e+20,1.4052691605644886e+20,1.3557250623987858e+20
spacing_left,18,18.682996920004733,1.1615051109623837e+20,1.655367513696262e+20,1.351063856961285e+20,1.3155913284531144e+20
spacing_left,19,19.209586883824628,1.1156384226141227e+20,1.566731522241069e+20,1.2668173157030175e+20,1.2444991425567208e+20
spacing_left,20,19.72211162979255,1.17479740411003e+20,1.721236880085932e+20,1.3850388261520928e+20,1.2975328332730666e+20
spacing_right,1,2.245806168292391,1.3151139902855091e+20,1.8688006284093473e+20,1.5149890884893744e+20,1.479794137092946e+20
spacing_right,2,5.39165330402977,1.5069705122054806e+20,2.1975294247949674e+20,1.7080486695017588e+20,1.5814480593122676e+20
spacing_right,3,7.0265064942610564,1.6644782776004867e+20,2.3715451664096454e+20,1.8449465744853434e+20,1.73761919427325e+20
spacing_right,4,8.334719221586703,1.7934506329444634e+20,2.4733307758534794e+20,1.9169830776894944e+20,1.8866170182035272e+20
spacing_right,5,9.460321692019834,1.8881543756798525e+20,2.4667544140463384e+20,2.0239986204104445e+20,2.0292688241945005e+20
spacing_right,6,10.464150973336217,1.9553864108654808e+20,2.4499815191473907e+20,2.0621599245802465e+20,2.0579322676539415e+20
spacing_right,7,11.379082535111348,1.9921861528378766e+20,2.429284740685906e+20,2.0981754842670907e+20,2.069854630226159e+20
spacing_right,8,12.2253505582234,2.0002761611557336e+20,2.4285214517024345e+20,2.1143823038953197e+20,2.1045407737082855e+20
