bc_phi_mae,boundary_gamma_uniformity,boundary_operator_proxy_loss,objective_density_ratio,objective_main,objective_negative_penalty,objective_total,objective_uniformity,poisson_residual_norm,pp,pp0,series.llcoil,series.min_gap_effective,series.nncoil,series.nncoil_effective,series.pitch_effective,series.rrc,series.rrce,series.zzc,trial,value,warnings
0.0,0.5920083299426494,9.899444580078125,0.34031325187627215,0.8174326497270674,0.0,0.8174326497270674,0.27818316321845604,0.05741162598133087,862.1106139380336,0.050161794738769534,0.9125619232654572,4.705525302328169,2.0,2.0,5.6180872255936265,8.827316761016846,20.0634912122041,4.728460311889648,17,0.8174326497270674,
0.0,0.6109656883357674,10.317188262939453,1.5282281683499541,0.20256066680971477,0.0,0.20256066680971477,0.30955891681835573,0.03792693093419075,1572.7252553452254,0.09881750023317337,0.9410412907600403,4.795214518904686,2.0,2.0,5.736255809664726,9.720201015472412,21.192712634801865,0.7265394926071167,18,0.20256066680971477,
0.0,0.5372871526650057,8.638104438781738,0.21083871384974476,1.0542487610067794,0.0,1.0542487610067794,0.22227645284835632,0.06267323344945908,689.7060608201698,0.050781316206455235,0.6465822458267212,12.676457226276398,2.0,2.0,13.323039472103119,3.0095999240875244,29.655678868293762,3.9644593000411987,19,1.0542487610067794,
0.0,0.7559613365390806,22.564224243164062,0.06864643412493351,6.165682342062294,0.0,6.165682342062294,0.4232521067296451,0.05529002845287323,2190.788487734735,0.011901194412708281,1.3617966771125793,7.394302975386381,2.0,2.0,8.75609965249896,2.716120719909668,20.22832002490759,4.399551451206207,20,6.165682342062294,"ood:cond:pp:2190.79 outside [505.725,2097.14]"
0.0,0.6876586051604228,24.30950927734375,0.01568945357931959,13.751867332519407,0.0,13.751867332519407,0.21575928414252477,0.06874074041843414,779.2908255181312,0.01053383243700862,1.353964626789093,6.28008559346199,2.0,2.0,7.634050220251083,7.385440826416016,22.653541266918182,1.3973931968212128,21,13.751867332519407,
0.0,0.5576561917244157,8.772563934326172,0.7413615212485204,0.3659202868545348,0.0,0.3659202868545348,0.2712792205181729,0.046096015721559525,1082.8939596152304,0.08747351805186271,0.5070623117499053,6.225025509018451,2.0,2.0,6.732087820768356,9.615444660186768,23.07962030172348,3.471623957157135,22,0.3659202868545348,
0.0,0.7012213555880653,17.05286979675293,2.021368908778663,0.1594126689262291,0.0,0.1594126689262291,0.32223181263290596,0.028920814394950867,2985.9457190085645,0.09084532581114768,0.88856440782547,7.3132729940116405,2.0,2.0,8.20183740183711,4.105689764022827,20.509364567697048,2.3753245174884796,23,0.1594126689262291,"ood:cond:pp:2985.95 outside [505.725,2097.14]"
0.0,0.5945803845144328,10.60951042175293,1.2605833884861974,0.19831571850639215,0.0,0.19831571850639215,0.2499935004248627,0.03934507444500923,1695.8165867732168,0.09905326112699508,0.7579488456249237,8.97255852818489,2.0,2.0,9.730507373809814,4.665804624557495,24.126819372177124,4.603942036628723,24,0.19831571850639215,
0.0,0.5194470668085327,8.496389389038086,0.5208888863321507,0.38101090844457897,0.0,0.38101090844457897,0.19846434778009778,0.047775138169527054,963.0981233267337,0.09592289768004417,0.508761583827436,11.890326858498156,2.0,2.0,12.399088442325592,5.173007249832153,29.971184134483337,4.240328669548035,25,0.38101090844457897,
0.0,0.5153580645814299,7.869250297546387,0.4335874772363957,0.5741968362200235,0.0,0.5741968362200235,0.24896455765375985,0.04867462441325188,556.6967098243385,0.08965445633888244,0.6188045963644981,8.27654979377985,2.0,2.0,8.895354390144348,8.650163173675537,26.440871953964233,0.15524412505328655,26,0.5741968362200235,
0.0,0.6239044834254487,14.837711334228516,0.02050495275116837,9.491822104621136,0.0,9.491822104621136,0.19462936377775192,0.06746479868888855,980.2522917660773,0.012141871319293975,1.08473539352417,6.610466837882996,2.0,2.0,7.6952022314071655,9.712977409362793,25.103381872177124,4.14573460817337,27,9.491822104621136,
0.0,0.5674020166133938,8.853907585144043,0.583568627993135,0.4117113507909051,0.0,0.4117113507909051,0.24026182811024882,0.04601151868700981,700.3922165883258,0.0969481171400547,1.4028435945510864,8.699707269668579,2.0,2.0,10.102550864219666,4.093426704406738,24.29852843284607,3.5168731212615967,28,0.4117113507909051,
0.0,0.9581514901700776,48.10587692260742,7.349339751091636e-05,5787.115718956693,0.0,5787.115718956693,0.42531479597495675,0.10729659348726273,730.6410102314204,0.004676685416229069,1.0513893365859985,11.812921106815338,2.0,2.0,12.864310443401337,4.115028381347656,29.84364926815033,0.563388392329216,29,5787.115718956693,
0.0,0.5026925673807981,11.232927322387695,0.39738983213456847,0.3374394279767206,0.0,0.3374394279767206,0.1340949976392538,0.047598011791706085,2934.695014653623,0.043459359482049945,1.3179524540901184,11.251455783843994,2.0,2.0,12.569408237934113,4.539315462112427,29.678131937980652,3.675282895565033,30,0.3374394279767206,"ood:cond:pp:2934.7 outside [505.725,2097.14]"
0.0,0.556417427657759,11.325400352478027,0.6409327717127926,0.3197361821826869,0.0,0.3197361821826869,0.20492939746321592,0.04236624762415886,2850.2255646879075,0.05370209133458138,1.402356505393982,6.733592629432678,2.0,2.0,8.13594913482666,9.30303144454956,25.57492971420288,2.0896686613559723,31,0.3197361821826869,"ood:cond:pp:2850.23 outside [505.725,2097.14]"
0.0,1.1530481412097586,96.63471221923828,0.00019134998414045874,4283.6423641662195,0.0,4283.6423641662195,0.8196748984466032,0.12087088823318481,936.9394593717009,0.003410172564610839,0.5731241628527641,8.330714516341686,2.0,2.0,8.90383867919445,2.7892868518829346,20.596964210271835,3.39462548494339,32,4283.6423641662195,
0.0,0.7164199204400987,29.73895835876465,0.0470003537886515,8.697782491551978,0.0,8.697782491551978,0.4087988542796817,0.06093905493617058,2974.6729574496744,0.009286831994473934,0.5447702407836914,5.588741065002978,2.0,2.0,6.133511305786669,7.827731609344482,20.09475422091782,1.507662832736969,33,8.697782491551978,"ood:cond:pp:2974.67 outside [505.725,2097.14]"
0.0,0.6717442941452316,14.370914459228516,2.0015003311027546,0.1430527647826362,0.0,0.1430527647826362,0.28632015607761085,0.031222963705658913,2494.44915260756,0.09819910390925407,1.496784269809723,5.2971459329128265,2.0,2.0,6.793930202722549,7.702132225036621,21.28999263048172,1.2369567155838013,34,0.1430527647826362,"ood:cond:pp:2494.45 outside [505.725,2097.14]"
0.0,0.5384359027474461,8.794364929199219,0.6794883119382283,0.2875812308600009,0.0,0.2875812308600009,0.19540808510217997,0.04584335908293724,1136.4770389204323,0.09727919790577888,1.3765947818756104,10.657984793186188,2.0,2.0,12.034579575061798,4.131769418716431,28.200928568840027,4.579171538352966,35,0.2875812308600009,
