model,family,split,case_id,selected_label,score_mean_rel_rmse,validation_selection_value,recipe,run_root,validation_selection_split,validation_protocol,validation_scaler_fit_split,selection_manifest,leaderboard,mean_abs_peak_percent_error_Te,mean_abs_peak_percent_error_ne,mean_abs_peak_percent_error_ni,mean_abs_peak_percent_error_phi,mean_signed_peak_percent_error_Te,mean_signed_peak_percent_error_ne,mean_signed_peak_percent_error_ni,mean_signed_peak_percent_error_phi,rel_rmse_Te,rel_rmse_ne,rel_rmse_ni,rel_rmse_phi,rmse_Te,rmse_ne,rmse_ni,rmse_phi
deeponet_pod,pod_operator,interp,case_td016_pa200_pp0_3_gamma_010__steady,,0.0176183351709377,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.1485575687318103,0.3902556130439666,0.30471081687674445,0.07398139037104665,-0.08706427076084972,-0.3808761652409271,-0.29387286148954517,-0.04934456272859829,0.024187714833658884,0.0209555662919365,0.017233753606819013,0.008096305951336397,0.18613691375311672,57248786685599.3,47340641001278.74,0.2560536710790977
deeponet_pod,pod_operator,interp,case_td030_pa200_pp0_1_gamma_004__steady,,0.041957652069509715,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.1296416679683268,0.650352701305605,0.685413917299151,0.10188026124870618,0.013464997009760287,0.618116651655759,-0.478966805437998,0.024639380125386925,0.0692526798178966,0.04856859432407974,0.028394376188859243,0.021614957947203268,0.29834426764702954,59109372604500.73,34894169633717.395,0.4800218048872174
deeponet_pod,pod_operator,interp,case_td030_pa200_pp0_5_gamma_004__steady,,0.013778202975927193,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.03098410687265352,0.2393192650071638,0.14192638428864415,0.033003063485212744,0.003017003978446861,0.2280261654775601,0.08786594685566422,0.014821166614884734,0.01991899949523383,0.017372997344151812,0.009689214269934503,0.008131600794388625,0.2525460641355853,73408371585006.05,41107517237731.29,0.3448968450749086
deeponet_pod,pod_operator,interp,case_td003_pa050_pp0_3_gamma_010__steady,,0.020222173970153835,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.20768628900265582,0.3273835708300651,0.46463557877470635,0.11422333462910349,-0.07071791146358701,0.23344492825811067,0.4011634741556986,-0.09380459856017849,0.02831136970382386,0.016681155832366526,0.022705522496051476,0.013190647848373486,0.16770473960268195,24521960260702.016,33728747075739.65,0.3528404793843503
deeponet_pod,pod_operator,interp,case_td003_pp0_5_gamma_007__steady,,0.01619193448600735,0.057746245110952284,min,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod,interp,pod_branch_tuned_v2_final_three_seed_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_pod_branch_tuned_v2/final/seed_412/n78/deeponet_pod/leaderboard.csv,0.16916184619590527,0.302954570187542,0.335114630884337,0.056382103786692235,0.05229995547233917,-0.292912691814802,-0.3220631329959602,0.03278938466288227,0.023420684958012465,0.015737409363424368,0.016333745170372446,0.009275898452220118,0.20817781131278515,45161149953554.67,47149324359459.63,0.32312137626259835
global_mlp,vector_nn,interp,case_td003_pa200_pp0_5_gamma_004__steady,,0.10584238837699746,0.4306088020516923,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp,interp,global_mlp_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp/leaderboard.csv,0.49587822535888365,1.7045871505373553,1.7098654224114038,0.48180162366994356,-0.17884042529778438,-0.6316193412503482,-0.6332060546682837,-0.265086720711206,0.15172019478495433,0.07756977071942188,0.07599010030392238,0.11808948769969123,1.5539651195866022,291552546286960.7,286865653205201.0,4.524305804308121
global_mlp,vector_nn,interp,case_td016_pa200_pp0_1_gamma_004__steady,,0.49433452830903424,0.4306088020516923,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp,interp,global_mlp_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp/leaderboard.csv,2.807816878388851,7.545202957083744,7.569117137395336,1.869313389764844,1.0674986146182799,-6.608783656310257,-6.76409302287401,-0.443255151272355,0.8620493439408496,0.3406310190038597,0.3309869009636671,0.44367084932776046,3.373748790012419,383109639528416.2,375967999864585.06,9.681957418214218
global_mlp,vector_nn,interp,case_td003_pa200_pp0_1_gamma_010__steady,,0.5007670662424442,0.4306088020516923,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp,interp,global_mlp_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp/leaderboard.csv,2.168726068804638,15.439074262163222,15.630727581714728,2.3834861930924136,0.6962111010899495,15.355080768418226,15.606892531244924,0.7463573661720827,0.4238554381390351,0.687544696360302,0.680483945092352,0.21118418537808753,1.5671339247804452,729880229815949.8,729610156630337.5,4.588928429660655
global_mlp,vector_nn,interp,case_td030_pp0_1_gamma_004__steady,,0.1978928125877162,0.4306088020516923,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp,interp,global_mlp_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp/leaderboard.csv,0.6661283112668395,4.1490722754295435,4.127975756443784,0.5271289097835644,0.2820580241773677,-3.871689227516203,-3.8893196550992086,-0.06189567085573249,0.25520112119481053,0.19535133047814263,0.18925646770432208,0.15176233097358957,1.0932571470648047,180971252889451.53,177721891579353.47,3.257049923621938
global_mlp,vector_nn,interp,case_td016_pp0_1_gamma_007__steady,,0.4226351621227329,0.4306088020516923,min,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp,interp,global_mlp_gec_ccp_nn_operator_comparison_v1_n78_seed412,interp,reports/gec_conference_materials/model_detail_assets/selection_manifest.csv,runs/gec_ccp_nn_operator_comparison_v1/seed_412/n78/global_mlp/leaderboard.csv,1.7361455245783575,11.123218524645518,11.184394889179472,1.158662043380285,1.6733859956858526,10.992917510639838,11.085479164909602,0.20042723216835295,0.3462518590175866,0.6175573759971819,0.6089060093596672,0.117825404116496,1.381598775444989,530140947321923.2,529981108607799.6,2.5000827996467594
