measurement_id,case_id,method,trial,PP0,PA,gamma,best_PP0,best_PA,best_gamma,loss,best_loss,feasible
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,45,2.6076171060262405,0.14298181436458324,0.06595902871787987,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.4708908334088631,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,46,1.680907685073419,0.07384455615818443,0.07526959180706798,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2851076123139854,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,47,2.289782341312642,0.1280906276762648,0.07317819651556626,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.25087952533316493,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,48,1.335111538979444,0.16688478013460623,0.059804972951621335,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.14560287108100636,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,49,1.6127759962665684,0.14543832550910124,0.047192113029021966,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.07480308763431312,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,50,2.1511117117207608,0.10648689777012155,0.05086505784413231,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.09185509409220502,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,51,2.161701956829711,0.14521129066248906,0.05734575660953098,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.253915756352323,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,52,3.034220899361574,0.08055511544904677,0.06946086535375676,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2711652994315299,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,53,1.7320055204387335,0.1289972245200105,0.07056268493210391,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.0674473501143982,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,54,1.977529237829286,0.09277106123525164,0.07103208458767107,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.08971170735688641,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,55,1.5703379377878215,0.11862539695788064,0.05583977927569804,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.15700920232024895,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,56,1.876802244481325,0.09585331156841949,0.07453545893732638,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.11248713927229342,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,57,2.021237749137877,0.13063247662088823,0.07675347619341837,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.13566986751136068,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,58,1.7332582879806573,0.13748305731791433,0.0708602228403839,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.06139411299104842,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,59,2.2716699661104,0.08979805121120796,0.055191308221489405,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.06488887766186753,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,60,1.3163103115881254,0.1315128136314499,0.07171508367763721,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.23217368412455858,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,61,2.5734676851991996,0.12267188025671434,0.05611046980846547,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.3555129996911175,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,62,1.3481440392025592,0.1289597725005152,0.06477608901469087,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2251161265178465,0.05504905143876742,True
M1,case_td003_pa050_pp0_3_gamma_010__steady,cmaes,63,2.2132139334460392,0.143223466861489,0.05805754440917216,2.2677381677204247,0.0850170124778119,0.05912660022782544,0.2726999553406157,0.05504905143876742,True
