measurement_id,case_id,r_m,truth_ne,sensor_ne,point_noise_draw,calibration_noise_draw
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.075,1977960151415344.2,2107706435360752.0,0.06559600498147893,0.0
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.08,1679199911452391.0,1674491790684639.2,-0.002803788122927908,0.0
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.085,1349080098501919.0,1339543817608399.2,-0.007068728464758609,0.0
M1,case_td003_pa050_pp0_3_gamma_010__steady,0.09,988876248675704.2,1129762027539851.2,0.1424705862364682,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.0,2105439941230213.0,2199609540737090.5,0.044726803962811756,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.005,2137119989858248.5,2174616623662923.2,0.017545404087096494,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.01,2204819973558423.5,2338988401032655.0,0.060852327665416234,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.015,2298019972593266.0,2455804530465443.5,0.06866109074505593,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.02,2393700047924382.5,2257365515506811.0,-0.056955562387939675,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.025,2462539945396656.5,2452251797965753.5,-0.004177860119643963,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.03,2471559966899520.0,2602154748294564.0,0.052839009833481915,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.035,2398819926977785.0,2399982837498597.5,0.00048478441742720227,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.04,2251160032699284.0,2282878222695220.5,0.014089709098959369,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.045,2064120116794157.0,1873102020971859.8,-0.09254214145200657,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.05,1868339983811255.8,1793312950271762.0,-0.040157056097704924,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.055,1691599972665311.0,1693751029832521.8,0.0012716110203180014,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.06,1538999912786190.2,1599091253487188.5,0.03904570767142493,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.065,1394579893753325.8,1372211984771128.2,-0.016039173576493544,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.07,1239459974455834.2,1232858911884825.2,-0.005325756948228371,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.075,1070580124644408.5,1060811353103358.6,-0.009124745842161577,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.08,883199937769527.8,846881264610168.4,-0.04112168899273258,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.085,680592029374889.9,699039120492895.6,0.027104477163726104,0.0
M2,case_td016_pp0_1_gamma_007__steady,0.09,465042123840793.4,434669449760190.94,-0.06531166215600824,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.0,1.472539940644383e+16,1.497038285205937e+16,0.016636794619528966,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.005,1.4781200006156436e+16,1.396509347925529e+16,-0.05521246763194011,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.01,1.4864399564083974e+16,1.488226546705082e+16,0.001201925640509059,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.015,1.484740016517692e+16,1.5119598190836174e+16,0.018333042999518958,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.02,1.4544799471172348e+16,1.5187774394671036e+16,0.04420651689100684,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.025,1.3762599766302548e+16,1.5054282940090736e+16,0.09385459111808568,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.03,1.2515599568209794e+16,1.245139800987539e+16,-0.005129722949708163,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.035,1.1055399807443802e+16,1.0464366048823024e+16,-0.05346109312327399,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.04,9660699721436334.0,9397703932978102.0,-0.02722326498510935,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.045,8346080260531978.0,8985500629871048.0,0.0766132542916995,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.05,7118240116571760.0,7105427916832041.0,-0.0017999111479663832,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.055,6085640048441940.0,6202605386998344.0,0.01921989102631047,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.06,5322799913436103.0,5678535255808099.0,0.06683237171362184,0.0
M3,case_td030_pa200_pp0_5_gamma_004__steady,0.065,4707219586945174.0,4709516415503799.0,0.000487937415325783,0.0
